t,R_top,R_bot,c_bot_3,c_top_3,kappa_bot_1,kappa_bot_2,kappa_bot_3,Qd_bot,Qd_top,Vd_1,Vd_2,Vd_3
0,0,0,,0,49.96554,50.29736,50.03777,8.34,1.67,1.5,1,1
1,0,0,,0.172573,49.72294,50.05081,49.73834,8.34,1.67,1.5,1,1
2,0,0,,0.172573,49.54659,49.75465,49.45551,8.34,1.67,1.5,1,1
3,0,0,,0.172573,49.3348,49.42142,49.08633,8.34,1.67,1.5,1,1
4,0,0,,0.172573,49.03638,48.98582,48.6707,8.34,1.67,1.5,1,1
5,0,0,,0.342567,48.8018,48.42534,48.14877,8.34,1.67,1.5,1,1
6,0,0,,0.342567,48.4342,47.74894,47.51238,8.34,1.67,1.5,1,1
7,0,0,,0.342567,48.62787,48.05543,47.87907,8.34,1.67,1.5,1,1
8,0,0,,0.342567,48.93757,48.66788,48.45508,8.34,1.67,1.5,1,1
9,0,0,,0.172573,49.1971,49.13401,48.84311,8.34,1.67,1.5,1,1
10,0,0,,0.342567,49.30669,49.36053,49.01031,8.34,1.67,1.5,1,1
11,0,0,,0.342567,49.34225,49.54506,49.20788,8.34,1.67,1.5,1,1
12,0,0,,0.342567,49.40257,49.62204,49.28344,8.34,1.67,1.5,1,1
13,0,0,,0.342567,49.46606,49.65387,49.355,8.34,1.67,1.5,1,1
14,0,0,,0.172573,49.48897,49.65206,49.39698,8.34,1.67,1.5,1,1
15,0,0,,0.172573,49.49924,49.66216,49.43937,8.34,1.67,1.5,1,1
16,0,0,,0.342567,49.52785,49.70928,49.4682,8.34,1.67,1.5,1,1
17,0,0,,0.172573,49.54574,49.78439,49.47797,8.34,1.67,1.5,1,1
18,0,0,,0.172573,49.57384,49.77593,49.4844,8.34,1.67,1.5,1,1
19,0,0,,0.342567,49.57147,49.84946,49.53327,8.34,1.67,1.5,1,1
20,0,0,,0.342567,49.57119,49.80572,49.53931,8.34,1.67,1.5,1,1
21,0,0,,0.342567,49.58959,49.73862,49.56024,8.34,1.67,1.5,1,1
22,0,0,,0.342567,49.63462,49.67486,49.5818,8.34,1.67,1.5,1,1
23,0,0,,0.342567,49.58152,49.68151,49.60838,8.34,1.67,1.5,1,1
24,0,0,,0.342567,49.61419,49.67638,49.61921,8.34,1.67,1.5,1,1
25,0,0,,0.342567,49.61916,49.73343,49.67153,8.34,1.67,1.5,1,1
26,0,0,,0.512561,49.68428,49.77384,49.70025,8.34,1.67,1.5,1,1
27,0,0,,0.512561,49.65364,49.78851,49.70634,8.34,1.67,1.5,1,1
28,0,0,,0.512561,49.65629,49.8283,49.73682,8.34,1.67,1.5,1,1
29,0,0,,0.512561,49.62413,49.88405,49.74122,8.34,1.67,1.5,1,1
30,0,0,,0.512561,49.67655,49.82141,49.7494,8.34,1.67,1.5,1,1
31,0,0,,0.512561,49.63671,49.8327,49.75381,8.34,1.67,1.5,1,1
32,0,0,,0.512561,49.62356,49.80414,49.74529,8.34,1.67,1.5,1,1
33,0,0,,0.512561,49.63801,49.83467,49.76458,8.34,1.67,1.5,1,1
34,0,0,,0.682555,49.63654,49.85612,49.76927,8.34,1.67,1.5,1,1
35,0,0,,0.512561,49.64489,49.87361,49.76594,8.34,1.67,1.5,1,1
