t,R_top,R_bot,c_bot_3,c_top_3,kappa_bot_1,kappa_bot_2,kappa_bot_3,Qd_bot,Qd_top,Vd_1,Vd_2,Vd_3
0,0,0,1,0,48.88227,48.66348,48.20311,8.34,1.67,30,20,10
1,0,0,0.88580179,0.628614,46.34898,45.32846,44.99495,8.34,1.67,30,20,10
2,0,0,0.806948283,1.06267,42.22238,43.57568,42.50189,8.34,1.67,30,20,10
3,0,0,0.728095867,1.49672,39.4615,40.61249,39.8006,8.34,1.67,30,20,10
4,0,0,0.64924345,1.93077,38.40995,38.24133,38.72247,8.34,1.67,30,20,10
5,0,0,0.609816946,2.147796627,38.89091,37.06477,38.79148,8.34,1.67,30,20,10
6,0,0,0.570391033,2.36482,39.01134,40.16786,39.01033,8.34,1.67,30,20,10
7,0,0,0.491538617,2.79887,39.15429,40.84849,39.14734,8.34,1.67,30,20,10
8,0,0,0.412684383,3.23293,39.61787,41.39859,40.71909,8.34,1.67,30,20,10
9,0,0,0.373259083,3.44995,39.23273,41.65603,40.5538,8.34,1.67,30,20,10
10,0,0,0.373259083,3.44995,40.62648,42.06375,40.87264,8.34,1.67,30,20,10
11,0,0,0.333831967,3.66698,40.40155,41.88441,40.86818,8.34,1.67,30,20,10
12,0,0,0.333831967,3.66698,40.60188,41.85794,39.93897,8.34,1.67,30,20,10
13,0,0,0.333831967,3.66698,40.33778,42.10382,40.83241,8.34,1.67,30,20,10
14,0,0,0.25497955,4.10103,40.22999,40.76,40.13383,8.34,1.67,30,20,10
15,0,0,0.25497955,4.10103,40.47462,41.56461,40.35674,8.34,1.67,30,20,10
16,0,0,0.25497955,4.10103,40.70938,41.5325,40.49472,8.34,1.67,30,20,10
17,0,0,0.25497955,4.10103,39.09678,41.58504,39.47775,8.34,1.67,30,20,10
18,0,0,0.25497955,4.10103,39.73463,41.56913,40.06504,8.34,1.67,30,20,10
19,0,0,0.25497955,4.10103,39.74236,41.70823,40.02402,8.34,1.67,30,20,10
20,0,0,0.25497955,4.10103,39.71404,41.09267,39.74919,8.34,1.67,30,20,10
21,0,0,0.215552433,4.31806,39.06179,41.42697,39.55997,8.34,1.67,30,20,10
22,0,0,0.215552433,4.31806,39.97323,41.75033,39.5918,8.34,1.67,30,20,10
23,0,0,0.29440485,3.88401,39.78232,41.08567,39.40693,8.34,1.67,30,20,10
24,0,0,0.25497955,4.10103,39.68491,41.30632,38.71033,8.34,1.67,30,20,10
25,0,0,0.215552433,4.31806,38.1402,40.85396,37.934,8.34,1.67,30,20,10
26,0,0,0.215552433,4.31806,38.90254,40.29308,38.29956,8.34,1.67,30,20,10
27,0,0,0.215552433,4.31806,38.99904,41.00486,38.60605,8.34,1.67,30,20,10
28,0,0,0.215552433,4.31806,38.39454,40.56661,38.89013,8.34,1.67,30,20,10
29,0,0,0.215552433,4.31806,38.32016,40.07277,38.6227,8.34,1.67,30,20,10
30,0,0,0.215552433,4.31806,38.32569,40.53975,37.87034,8.34,1.67,30,20,10
31,0,0,0.25497955,4.10103,38.34809,40.24297,38.10504,8.34,1.67,30,20,10
32,0,0,0.215552433,4.31806,37.65331,39.89236,38.48833,8.34,1.67,30,20,10
33,0,0,0.25497955,4.10103,37.97062,40.39347,38.56796,8.34,1.67,30,20,10
34,0,0,0.215552433,4.31806,39.20597,39.65653,38.14776,8.34,1.67,30,20,10
35,0,0,0.25497955,4.10103,37.46019,40.46058,37.4629,8.34,1.67,30,20,10
36,0,0,0.215552433,4.31806,38.07022,40.16549,36.72263,8.34,1.67,30,20,10
37,0,0,0.215552433,4.31806,38.22338,39.72769,37.66555,8.34,1.67,30,20,10
38,0,0,0.215552433,4.31806,39.09311,40.42581,38.48771,8.34,1.67,30,20,10
39,0,0,0.25497955,4.10103,37.79574,39.85071,37.55444,8.34,1.67,30,20,10
40,0,0,0.215552433,4.31806,38.62241,40.02452,38.31746,8.34,1.67,30,20,10
41,0,0,0.215552433,4.31806,37.83953,40.15144,37.11071,8.34,1.67,30,20,10
42,0,0,0.215552433,4.31806,37.79004,39.03843,37.32114,8.34,1.67,30,20,10
43,0,0,0.215552433,4.31806,37.57498,39.79964,37.53767,8.34,1.67,30,20,10
44,0,0,0.215552433,4.31806,38.54634,40.66401,37.61578,8.34,1.67,30,20,10
45,0,0,0.176127133,4.53508,37.82249,39.70845,36.88115,8.34,1.67,30,20,10
46,0,0,0.215552433,4.31806,37.62537,39.53373,37.27295,8.34,1.67,30,20,10
47,0,0,0.215552433,4.31806,38.05911,39.60021,37.0874,8.34,1.67,30,20,10
48,0,0,0.215552433,4.31806,37.89478,40.27773,38.27332,8.34,1.67,30,20,10
49,0,0,0.215552433,4.31806,38.48805,39.55704,38.08727,8.34,1.67,30,20,10
50,0,0,0.215552433,4.31806,38.51073,40.26678,37.68496,8.34,1.67,30,20,10
51,0,0,0.215552433,4.31806,38.08693,40.48365,38.22564,8.34,1.67,30,20,10
52,0,0,0.215552433,4.31806,37.25314,40.06882,37.22211,8.34,1.67,30,20,10
53,0,0,0.215552433,4.31806,38.4832,38.82568,35.51809,8.34,1.67,30,20,10
54,0,0,0.25497955,4.10103,37.46415,39.94766,37.06246,8.34,1.67,30,20,10
55,0,0,0.215552433,4.31806,39.01241,40.27452,38.32106,8.34,1.67,30,20,10
56,0,0,0.215552433,4.31806,38.71987,39.97989,38.97218,8.34,1.67,30,20,10
57,0,0,0.25497955,4.10103,38.50153,40.28891,38.16035,8.34,1.67,30,20,10
58,0,0,0.215552433,4.31806,36.6167,40.64861,38.17953,8.34,1.67,30,20,10
59,0,0,0.215552433,4.31806,38.25374,40.32237,38.72636,8.34,1.67,30,20,10
60,0,0,0.215552433,4.31806,39.07432,40.99820,38.42552,8.34,1.67,30,20,10
