t,R_top,R_bot,c_bot_3,c_top_3,Qd_bot,Qd_top,Vd_1,Vd_2,Vd_3
0,0,0,1.25,0.00,8.34,1.67,15,15,15
2,0,0,1.17,0.23,8.34,1.67,15,15,15
5,0,0,0.80,4.76,8.34,1.67,15,15,15
10,0,0,0.61,4.97,8.34,1.67,15,15,15
15,0,0,0.48,5.71,8.34,1.67,15,15,15
20,0,0,0.44,5.82,8.34,1.67,15,15,15
30,0,0,0.39,6.24,8.34,1.67,15,15,15
40,0,0,0.36,5.71,8.34,1.67,15,15,15
50,0,0,0.35,6.34,8.34,1.67,15,15,15
60,0,0,0.34,6.13,8.34,1.67,15,15,15

