t,R_top,R_bot,c_bot_3,c_top_3,Qd_bot,Qd_top,Vd_1,Vd_2,Vd_3
0,0,0,1.50,0.00,8.34,1.67,15,15,15
2,0,0,1.08,3.13,8.34,1.67,15,15,15
5,0,0,0.68,3.60,8.34,1.67,15,15,15
10,0,0,0.43,4.76,8.34,1.67,15,15,15
15,0,0,0.33,5.29,8.34,1.67,15,15,15
20,0,0,0.32,5.29,8.34,1.67,15,15,15
30,0,0,0.31,5.45,8.34,1.67,15,15,15
40,0,0,0.30,5.66,8.34,1.67,15,15,15
50,0,0,0.33,5.18,8.34,1.67,15,15,15
60,0,0,0.30,5.66,8.34,1.67,15,15,15

