t,R_top,R_bot,c_bot_3,c_top_3,kappa_bot_1,kappa_bot_2,kappa_bot_3,Qd_bot,Qd_top,Vd_1,Vd_2,Vd_3
0,0,0,1.25,0,47.35939,48.54576,46.68921,16.67,3.33,15,15,15
1,0,0,1.17522818,0.411588,46.39807,45.89549,45.85548,16.67,3.33,15,15,15
2,0,0,1.056948283,1.06267,46.11732,45.66716,44.3387,16.67,3.33,15,15,15
3,0,0,0.938670567,1.71374,45.5938,45.21046,43.52489,16.67,3.33,15,15,15
4,0,0,0.89924345,1.93077,45.01464,45.04985,43.47974,16.67,3.33,15,15,15
5,0,0,0.820391033,2.36482,44.47487,45.04088,42.90369,16.67,3.33,15,15,15
6,0,0,0.780963917,2.58185,44.05908,44.51821,42.70493,16.67,3.33,15,15,15
7,0,0,0.741538617,2.79887,43.37428,44.38356,42.37351,16.67,3.33,15,15,15
8,0,0,0.7021115,3.0159,42.64026,43.10413,41.61246,16.67,3.33,15,15,15
9,0,0,0.623259083,3.44995,41.66924,42.72316,41.55643,16.67,3.33,15,15,15
10,0,0,0.623259083,3.44995,41.5847,42.3581,41.20649,16.67,3.33,15,15,15
11,0,0,0.54440485,3.88401,41.75146,41.95201,41.54147,16.67,3.33,15,15,15
12,0,0,0.54440485,3.88401,40.70402,41.71009,40.87501,16.67,3.33,15,15,15
13,0,0,0.50497955,4.10103,40.84787,42.5555,41.06485,16.67,3.33,15,15,15
14,0,0,0.50497955,4.10103,40.12971,41.18691,41.01112,16.67,3.33,15,15,15
15,0,0,0.465552433,4.31806,40.53275,40.12621,40.59065,16.67,3.33,15,15,15
16,0,0,0.465552433,4.31806,39.7124,41.57951,41.24949,16.67,3.33,15,15,15
17,0,0,0.465552433,4.31806,39.65958,39.91426,40.92168,16.67,3.33,15,15,15
18,0,0,0.386700017,4.75211,40.70103,42.09857,41.33719,16.67,3.33,15,15,15
19,0,0,0.386700017,4.75211,38.89566,41.02484,40.69099,16.67,3.33,15,15,15
20,0,0,0.426127133,4.53508,38.83911,40.25759,40.68839,16.67,3.33,15,15,15
21,0,0,0.465552433,4.31806,39.9445,41.05119,40.72248,16.67,3.33,15,15,15
22,0,0,0.426127133,4.53508,39.33571,40.74877,40.96107,16.67,3.33,15,15,15
23,0,0,0.426127133,4.53508,39.8997,40.07362,40.32355,16.67,3.33,15,15,15
24,0,0,0.426127133,4.53508,38.80751,40.37722,40.34788,16.67,3.33,15,15,15
25,0,0,0.386700017,4.75211,38.86287,40.16634,40.14873,16.67,3.33,15,15,15
26,0,0,0.426127133,4.53508,37.07324,39.88,40.76333,16.67,3.33,15,15,15
27,0,0,0.426127133,4.53508,38.64273,38.53015,39.97007,16.67,3.33,15,15,15
28,0,0,0.426127133,4.53508,39.10869,39.88136,39.81296,16.67,3.33,15,15,15
29,0,0,0.426127133,4.53508,39.90319,40.65295,40.37418,16.67,3.33,15,15,15
30,0,0,0.426127133,4.53508,37.40128,40.29421,39.61776,16.67,3.33,15,15,15
31,0,0,0.386700017,4.75211,37.83598,39.63684,39.73711,16.67,3.33,15,15,15
32,0,0,0.426127133,4.53508,37.91498,39.49147,38.66756,16.67,3.33,15,15,15
33,0,0,0.426127133,4.53508,36.63911,39.33605,39.64163,16.67,3.33,15,15,15
34,0,0,0.426127133,4.53508,37.29682,38.3284,38.85485,16.67,3.33,15,15,15
35,0,0,0.386700017,4.75211,36.82669,38.98544,39.16106,16.67,3.33,15,15,15
36,0,0,0.426127133,4.53508,36.62003,38.81163,38.03174,16.67,3.33,15,15,15
37,0,0,0.386700017,4.75211,35.75459,38.11548,37.87017,16.67,3.33,15,15,15
38,0,0,0.426127133,4.53508,35.99206,38.9509,37.56228,16.67,3.33,15,15,15
39,0,0,0.426127133,4.53508,35.56831,38.01503,37.27453,16.67,3.33,15,15,15
40,0,0,0.386700017,4.75211,35.5511,35.76249,37.5717,16.67,3.33,15,15,15
41,0,0,0.386700017,4.75211,36.1109,37.98642,36.94728,16.67,3.33,15,15,15
42,0,0,0.426127133,4.53508,34.78306,38.19449,37.12087,16.67,3.33,15,15,15
43,0,0,0.386700017,4.75211,36.07123,38.01955,37.56245,16.67,3.33,15,15,15
44,0,0,0.386700017,4.75211,35.36747,38.49189,37.05191,16.67,3.33,15,15,15
45,0,0,0.386700017,4.75211,34.14103,37.55015,37.11709,16.67,3.33,15,15,15
46,0,0,0.386700017,4.75211,35.07673,38.3433,36.6943,16.67,3.33,15,15,15
47,0,0,0.386700017,4.75211,34.83695,38.10392,36.41005,16.67,3.33,15,15,15
48,0,0,0.426127133,4.53508,35.25235,37.3712,36.06683,16.67,3.33,15,15,15
49,0,0,0.426127133,4.53508,35.62785,37.47898,35.80583,16.67,3.33,15,15,15
50,0,0,0.386700017,4.75211,33.95797,37.36686,34.78554,16.67,3.33,15,15,15
