t,R_top,R_bot,c_bot_3,c_top_3,kappa_bot_1,kappa_bot_2,kappa_bot_3,Qd_bot,Qd_top,Vd_1,Vd_2,Vd_3
0,0,0,1,0,48.61348,49.12735,47.74990,16.67,3.33,15,15,15
1,0,0,0.96465457,0.194562,47.33355,48.44977,47.37514,16.67,3.33,15,15,15
2,0,0,0.88580179,0.628614,47.6744,48.94519,47.27802,16.67,3.33,15,15,15
3,0,0,0.806948283,1.06267,46.48639,46.31342,45.31362,16.67,3.33,15,15,15
4,0,0,0.767522983,1.27969,43.65356,41.679,41.78267,16.67,3.33,15,15,15
5,0,0,0.728095867,1.49672,38.46119,37.58908,36.36219,16.67,3.33,15,15,15
6,0,0,0.688670567,1.71374,35.81441,36.21,32.71053,16.67,3.33,15,15,15
7,0,0,0.64924345,1.93077,35.68118,36.23003,34.1912,16.67,3.33,15,15,15
8,0,0,0.570391033,2.36482,35.09168,35.72051,35.23305,16.67,3.33,15,15,15
9,0,0,0.530963917,2.58185,36.47449,36.43347,34.28008,16.67,3.33,15,15,15
10,0,0,0.4521115,3.0159,37.1137,37.09327,33.2603,16.67,3.33,15,15,15
11,0,0,0.4521115,3.0159,36.67855,37.27402,33.90351,16.67,3.33,15,15,15
12,0,0,0.412684383,3.23293,38.15724,37.28751,34.09047,16.67,3.33,15,15,15
13,0,0,0.373259083,3.44995,35.88704,36.38195,33.92055,16.67,3.33,15,15,15
14,0,0,0.373259083,3.44995,36.67438,36.06976,34.50033,16.67,3.33,15,15,15
15,0,0,0.373259083,3.44995,35.21883,37.97265,35.8801,16.67,3.33,15,15,15
16,0,0,0.333831967,3.66698,38.47163,38.05837,34.04972,16.67,3.33,15,15,15
17,0,0,0.333831967,3.66698,36.9536,37.86617,35.32893,16.67,3.33,15,15,15
18,0,0,0.29440485,3.88401,37.96165,37.38525,36.66992,16.67,3.33,15,15,15
19,0,0,0.29440485,3.88401,35.63259,36.81777,36.89175,16.67,3.33,15,15,15
20,0,0,0.29440485,3.88401,35.74906,37.93101,37.3115,16.67,3.33,15,15,15
21,0,0,0.29440485,3.88401,35.07374,37.73965,37.20952,16.67,3.33,15,15,15
22,0,0,0.29440485,3.88401,35.07775,37.71199,33.89199,16.67,3.33,15,15,15
23,0,0,0.29440485,3.88401,36.39685,39.30479,35.85453,16.67,3.33,15,15,15
24,0,0,0.29440485,3.88401,36.37963,38.40791,35.93653,16.67,3.33,15,15,15
25,0,0,0.29440485,3.88401,36.39589,37.87796,35.10506,16.67,3.33,15,15,15
26,0,0,0.29440485,3.88401,33.88833,37.55195,37.72221,16.67,3.33,15,15,15
27,0,0,0.333831967,3.66698,36.94745,38.38009,35.02182,16.67,3.33,15,15,15
28,0,0,0.29440485,3.88401,37.40122,37.89923,35.255,16.67,3.33,15,15,15
29,0,0,0.29440485,3.88401,36.52483,37.33113,34.5663,16.67,3.33,15,15,15
30,0,0,0.29440485,3.88401,35.0708,37.91707,33.75249,16.67,3.33,15,15,15
31,0,0,0.29440485,3.88401,33.07768,36.00741,34.63396,16.67,3.33,15,15,15
32,0,0,0.29440485,3.88401,33.55679,35.06437,32.52081,16.67,3.33,15,15,15
33,0,0,0.29440485,3.88401,33.63771,35.47954,32.27437,16.67,3.33,15,15,15
34,0,0,0.29440485,3.88401,33.91874,35.28615,32.55061,16.67,3.33,15,15,15
35,0,0,0.29440485,3.88401,33.32891,36.27106,33.79561,16.67,3.33,15,15,15
36,0,0,0.29440485,3.88401,34.92103,36.40638,34.48109,16.67,3.33,15,15,15
37,0,0,0.29440485,3.88401,34.4957,37.94568,35.33699,16.67,3.33,15,15,15
38,0,0,0.29440485,3.88401,33.34799,37.95945,34.67775,16.67,3.33,15,15,15
39,0,0,0.29440485,3.88401,34.46342,37.19141,35.74579,16.67,3.33,15,15,15
40,0,0,0.333831967,3.66698,35.33305,37.21517,35.71667,16.67,3.33,15,15,15
41,0,0,0.333831967,3.66698,34.65298,35.66227,35.24778,16.67,3.33,15,15,15
42,0,0,0.333831967,3.66698,33.97512,35.03762,32.80252,16.67,3.33,15,15,15
43,0,0,0.333831967,3.66698,32.23639,34.36411,32.51172,16.67,3.33,15,15,15
44,0,0,0.333831967,3.66698,33.39539,34.45316,31.12282,16.67,3.33,15,15,15
45,0,0,0.333831967,3.66698,31.96529,34.15689,30.95138,16.67,3.33,15,15,15
46,0,0,0.333831967,3.66698,33.28727,35.01082,30.89963,16.67,3.33,15,15,15
47,0,0,0.333831967,3.66698,34.18561,35.01781,33.08078,16.67,3.33,15,15,15
48,0,0,0.333831967,3.66698,34.33075,35.72378,32.71906,16.67,3.33,15,15,15
49,0,0,0.333831967,3.66698,32.23904,33.542,27.58865,16.67,3.33,15,15,15
50,0,0,0.333831967,3.66698,31.85169,34.4474,31.27992,16.67,3.33,15,15,15
