t,R_top,R_bot,c_bot_3,c_top_3,kappa_bot_1,kappa_bot_2,kappa_bot_3,Qd_bot,Qd_top,Vd_1,Vd_2,Vd_3
0,0,0,1,0,50.16751,50.53934,52.28574,8.34,1.67,10,10,10
1,0,0,1,0,48.01863,49.86148,51.78999,8.34,1.67,10,10,10
2,0,0,1,0,48.25582,49.35816,51.62159,8.34,1.67,10,10,10
3,0,0,1,0,47.91006,48.85213,50.95993,8.34,1.67,10,10,10
4,0,0,0.911054002,0.489611,47.58286,48.82409,50.69882,8.34,1.67,10,10,10
5,0,0,0.88122379,0.653814,47.49302,48.51884,50.18365,8.34,1.67,10,10,10
6,0,0,0.851393397,0.818018,47.29117,48.43803,47.94691,8.34,1.67,10,10,10
7,0,0,0.791731883,1.14643,47.1024,48.04978,49.53699,8.34,1.67,10,10,10
8,0,0,0.761902217,1.31063,46.82092,46.82284,50.08833,8.34,1.67,10,10,10
9,0,0,0.6724114,1.80324,46.52849,47.48016,49.97423,8.34,1.67,10,10,10
10,0,0,0.642581733,1.96744,46.44762,47.64624,49.84861,8.34,1.67,10,10,10
11,0,0,0.582920583,2.29585,46.43944,47.36577,49.79777,8.34,1.67,10,10,10
12,0,0,0.523259433,2.62426,45.80751,46.93672,49.76024,8.34,1.67,10,10,10
13,0,0,0.374107467,3.44528,45.88894,46.13341,49.63264,8.34,1.67,10,10,10
14,0,0,0.3442778,3.60948,45.95689,46.81894,49.63039,8.34,1.67,10,10,10
15,0,0,0.40393895,3.28107,46.43323,47.13773,49.53237,8.34,1.67,10,10,10
16,0,0,0.88122379,0.653814,46.40795,47.35725,49.70448,8.34,1.67,10,10,10
17,0,0,0.314448133,3.77368,47.1046,47.01211,49.80493,8.34,1.67,10,10,10
18,0,0,0.314448133,3.77368,46.95009,46.83537,49.70008,8.34,1.67,10,10,10
19,0,0,0.254786983,4.10209,47.28304,47.03711,49.88078,8.34,1.67,10,10,10
20,0,0,0.3442778,3.60948,47.48868,46.86736,49.84568,8.34,1.67,10,10,10
21,0,0,0.374107467,3.44528,47.68241,46.85991,49.81977,8.34,1.67,10,10,10
22,0,0,0.3442778,3.60948,47.85938,46.95263,49.83766,8.34,1.67,10,10,10
23,0,0,0.3442778,3.60948,47.85583,46.71127,49.73456,8.34,1.67,10,10,10
24,0,0,0.3442778,3.60948,48.05661,46.48221,49.80476,8.34,1.67,10,10,10
25,0,0,0.3442778,3.60948,47.95949,46.6997,49.76227,8.34,1.67,10,10,10
26,0,0,0.3442778,3.60948,47.96519,46.51257,49.63857,8.34,1.67,10,10,10
27,0,0,0.3442778,3.60948,47.90424,46.72623,49.71605,8.34,1.67,10,10,10
28,0,0,0.314448133,3.77368,47.66051,46.61314,49.74895,8.34,1.67,10,10,10
29,0,0,0.314448133,3.77368,47.85577,46.8945,49.73868,8.34,1.67,10,10,10
30,0,0,0.3442778,3.60948,47.73929,46.85213,49.63795,8.34,1.67,10,10,10
31,0,0,0.314448133,3.77368,47.89228,46.33809,49.63648,8.34,1.67,10,10,10
32,0,0,0.314448133,3.77368,47.55166,46.62267,49.60708,8.34,1.67,10,10,10
33,0,0,0.314448133,3.77368,47.23112,46.64276,49.67254,8.34,1.67,12,12,12
34,0,0,0.314448133,3.77368,46.28335,45.84239,49.43801,8.34,1.67,12,12,12
35,0,0,0.28461665,3.93789,46.26856,46.35016,49.02075,8.34,1.67,12,12,12
36,0,0,0.254786983,4.10209,45.61057,45.69194,48.78583,8.34,1.67,14,14,14
37,0,0,0.254786983,4.10209,42.237,43.02428,48.6904,8.34,1.67,14,14,14
38,0,0,0.254786983,4.10209,43.09827,42.56854,47.40962,8.34,1.67,14,14,14
39,0,0,0.254786983,4.10209,42.1743,42.4357,47.15116,8.34,1.67,16,16,16
40,0,0,0.254786983,4.10209,39.34119,40.04568,44.8752,8.34,1.67,16,16,16
41,0,0,0.254786983,4.10209,39.61686,36.69029,44.33407,8.34,1.67,16,16,16
42,0,0,0.254786983,4.10209,38.71953,38.27287,42.82045,8.34,1.67,18,18,18
43,0,0,0.254786983,4.10209,38.80898,37.16009,42.14857,8.34,1.67,18,18,18
44,0,0,0.254786983,4.10209,39.82283,37.45698,40.89403,8.34,1.67,18,18,18
45,0,0,0.28461665,3.93789,38.94441,36.18923,43.05193,8.34,1.67,20,20,20
46,0,0,0.28461665,3.93789,36.97781,37.02815,40.4011,8.34,1.67,20,20,20
47,0,0,0.28461665,3.93789,38.74538,36.16322,41.42076,8.34,1.67,20,20,20
48,0,0,0.28461665,3.93789,39.62171,35.73315,40.47248,8.34,1.67,22,22,20
49,0,0,0.28461665,3.93789,36.97319,37.01991,40.24032,8.34,1.67,22,22,20
50,0,0,0.28461665,3.93789,38.05318,32.87819,40.89352,8.34,1.67,22,22,20
51,0,0,0.28461665,3.93789,36.2907,37.03058,40.73794,8.34,1.67,24,24,20
52,0,0,0.314448133,3.77368,36.09866,35.25229,41.59142,8.34,1.67,24,24,20
53,0,0,0.28461665,3.93789,37.24558,34.50998,42.71351,8.34,1.67,24,24,20
54,0,0,0.28461665,3.93789,35.40409,34.84462,41.25587,8.34,1.67,26,26,20
55,0,0,0.314448133,3.77368,35.63428,36.60446,42.05038,8.34,1.67,26,26,20
56,0,0,0.314448133,3.77368,35.64771,35.90041,41.95789,8.34,1.67,26,26,20
