t,R_top,R_bot,c_bot_3,c_top_3,kappa_bot_1,kappa_bot_2,kappa_bot_3,Qd_bot,Qd_top,Vd_1,Vd_2,Vd_3
0,0,0,1.5,0,46.56596,47.74223,47.30127,8.34,1.67,30,20,10
1,0,0,1.42522818,0.411588,43.90219,45.53540,46.57036,8.34,1.67,30,20,10
2,0,0,1.306948283,1.06267,37.88671,44.15817,43.29549,8.34,1.67,30,20,10
3,0,0,1.070391033,2.36482,35.58846,41.39108,39.4685,8.34,1.67,30,20,10
4,0,0,0.912684383,3.23293,34.26501,37.9296,34.2342,8.34,1.67,30,20,10
5,0,0,0.9521115,3.0159,34.59249,35.68625,32.88598,8.34,1.67,30,20,10
6,0,0,0.79440485,3.88401,35.94167,36.89802,34.14966,8.34,1.67,30,20,10
7,0,0,0.676127133,4.53508,34.3597,36.70124,35.58496,8.34,1.67,30,20,10
8,0,0,0.636700017,4.75211,34.70078,38.22993,36.56355,8.34,1.67,30,20,10
9,0,0,0.5972729,4.96914,33.68489,38.89994,37.01709,8.34,1.67,30,20,10
10,0,0,0.5578476,5.18616,34.93034,39.30428,37.39863,8.34,1.67,30,20,10
11,0,0,0.518420483,5.40319,34.88571,40.01623,36.56123,8.34,1.67,30,20,10
12,0,0,0.518420483,5.40319,35.36335,39.96036,36.97618,8.34,1.67,30,20,10
13,0,0,0.478995183,5.62021,36.34877,40.57891,37.85324,8.34,1.67,30,20,10
14,0,0,0.478995183,5.62021,36.2736,41.68171,38.50583,8.34,1.67,30,20,10
15,0,0,0.478995183,5.62021,35.88585,41.2636,38.914,8.34,1.67,30,20,10
16,0,0,0.478995183,5.62021,36.25655,41.66083,40.26419,8.34,1.67,30,20,10
17,0,0,0.439568067,5.83724,36.39944,41.29424,39.49034,8.34,1.67,30,20,10
18,0,0,0.439568067,5.83724,35.91678,42.35985,39.89952,8.34,1.67,30,20,10
19,0,0,0.439568067,5.83724,37.90905,42.14885,39.25682,8.34,1.67,30,20,10
20,0,0,0.439568067,5.83724,35.86582,42.34992,39.50535,8.34,1.67,30,20,10
21,0,0,0.439568067,5.83724,36.74458,42.33818,39.73136,8.34,1.67,30,20,10
22,0,0,0.439568067,5.83724,35.64353,42.26025,39.92808,8.34,1.67,30,20,10
23,0,0,0.439568067,5.83724,37.25941,42.63208,40.07091,8.34,1.67,30,20,10
24,0,0,0.40014095,6.05427,37.09513,42.42006,39.65614,8.34,1.67,30,20,10
25,0,0,0.40014095,6.05427,36.04821,42.32424,39.64553,8.34,1.67,30,20,10
26,0,0,0.439568067,5.83724,37.8665,42.07227,41.24837,8.34,1.67,30,20,10
27,0,0,0.40014095,6.05427,35.5748,42.6002,41.40135,8.34,1.67,30,20,10
28,0,0,0.40014095,6.05427,37.60342,41.88108,40.76548,8.34,1.67,30,20,10
29,0,0,0.40014095,6.05427,38.54567,42.08091,40.51904,8.34,1.67,30,20,10
30,0,0,0.40014095,6.05427,37.82751,42.41053,40.43326,8.34,1.67,30,20,10
31,0,0,0.40014095,6.05427,36.96918,42.35979,39.12708,8.34,1.67,30,20,10
32,0,0,0.40014095,6.05427,37.67035,42.53671,41.51281,8.34,1.67,30,20,10
33,0,0,0.40014095,6.05427,36.01779,42.6235,41.49339,8.34,1.67,30,20,10
34,0,0,0.40014095,6.05427,37.77661,42.51498,41.53543,8.34,1.67,30,20,10
35,0,0,0.40014095,6.05427,35.7963,42.94731,41.67369,8.34,1.67,30,20,10
36,0,0,0.439568067,5.83724,37.76143,43.0187,41.70174,8.34,1.67,30,20,10
37,0,0,0.40014095,6.05427,38.33292,42.8406,41.64796,8.34,1.67,30,20,10
38,0,0,0.36071565,6.27129,36.11784,41.75078,39.89868,8.34,1.67,30,20,10
39,0,0,0.36071565,6.27129,36.74181,42.16668,39.80021,8.34,1.67,30,20,10
40,0,0,0.40014095,6.05427,36.54126,42.29292,41.27675,8.34,1.67,30,20,10
41,0,0,0.40014095,6.05427,36.57523,42.19123,41.65028,8.34,1.67,30,20,10
42,0,0,0.40014095,6.05427,36.85592,42.86892,41.13099,8.34,1.67,30,20,10
43,0,0,0.40014095,6.05427,36.68217,41.91788,41.0789,8.34,1.67,30,20,10
44,0,0,0.40014095,6.05427,35.8784,42.41284,41.32393,8.34,1.67,30,20,10
45,0,0,0.40014095,6.05427,38.35318,42.36679,40.94126,8.34,1.67,30,20,10
