t,R_top,R_bot,c_bot_3,c_top_3,kappa_bot_1,kappa_bot_2,kappa_bot_3,Qd_bot,Qd_top,Vd_1,Vd_2,Vd_3
0,0,0,,0,50.6883,50.2357,51.5418,11.11,2.22,30,20,10
1,0,0,,0.1725,38.1127,44.7128,46.7871,11.11,2.22,30,20,10
2,0,0,,0.3425,38.1115,37.2752,41.0776,11.11,2.22,30,20,10
3,0,0,,1.0224,34.5277,34.2946,39.2095,11.11,2.22,30,20,10
4,0,0,,1.1924,34.8640,35.7123,37.5951,11.11,2.22,30,20,10
5,0,0,,1.3624,33.7214,36.0046,37.6470,11.11,2.22,30,20,10
6,0,0,,1.7023,34.7310,36.2794,38.5700,11.11,2.22,30,20,10
7,0,0,,2.0423,35.3748,35.8578,39.8206,11.11,2.22,30,20,10
8,0,0,,2.2123,37.6231,37.3549,40.6646,11.11,2.22,30,20,10
9,0,0,,2.3822,37.8327,37.4024,41.1152,11.11,2.22,30,20,10
10,0,0,,2.7222,36.0279,37.6931,41.5365,11.11,2.22,30,20,10
11,0,0,,2.8922,38.0254,38.3400,40.8827,11.11,2.22,30,20,10
12,0,0,,3.0622,38.1032,37.5757,40.8571,11.11,2.22,30,20,10
13,0,0,,3.2321,36.7429,36.8338,41.9881,11.11,2.22,30,20,10
14,0,0,,3.4021,36.9292,36.9450,40.4578,11.11,2.22,30,20,10
15,0,0,,3.5721,37.1056,36.4905,40.8892,11.11,2.22,30,20,10
16,0,0,,3.5721,38.0500,36.6370,40.6578,11.11,2.22,30,20,10
17,0,0,,3.7421,38.8817,38.1668,41.6194,11.11,2.22,30,20,10
18,0,0,,3.7421,36.7336,37.1103,40.6188,11.11,2.22,30,20,10
19,0,0,,3.9121,37.2760,36.8871,41.2016,11.11,2.22,30,20,10
20,0,0,,3.9121,38.0726,36.8661,40.3161,11.11,2.22,30,20,10
21,0,0,,3.9121,39.1074,37.3386,41.5245,11.11,2.22,30,20,10
22,0,0,,4.0821,37.8665,35.9954,40.2486,11.11,2.22,30,20,10
23,0,0,,3.9121,35.6452,37.0740,38.7134,11.11,2.22,30,20,10
24,0,0,,3.9121,38.6764,35.7456,40.3023,11.11,2.22,30,20,10
25,0,0,,4.0821,35.7153,36.9934,40.1675,11.11,2.22,30,20,10
26,0,0,,4.0821,37.1271,36.1547,39.4987,11.11,2.22,30,20,10
27,0,0,,4.0821,36.7205,37.3296,40.3760,11.11,2.22,30,20,10
28,0,0,,4.0821,36.3273,36.0205,40.0814,11.11,2.22,30,20,10
29,0,0,,4.252,37.4171,35.0279,39.6177,11.11,2.22,30,20,10
30,0,0,,4.252,36.2609,35.9958,39.4546,11.11,2.22,30,20,10
31,0,0,,4.252,37.66911,37.14604,38.87393,11.11,2.22,30,20,10
32,0,0,,4.252,35.65696,35.86644,39.50292,11.11,2.22,30,20,10
33,0,0,,4.252,33.60718,36.30182,39.16946,11.11,2.22,30,20,10
34,0,0,,4.0821,37.06776,35.80882,39.34954,11.11,2.22,30,20,10
35,0,0,,4.0821,34.70445,36.59306,41.20452,11.11,2.22,30,20,10
36,0,0,,4.252,35.95256,35.70155,39.2233,11.11,2.22,30,20,10
37,0,0,,4.422,35.68637,35.50431,38.50605,11.11,2.22,30,20,10
38,0,0,,4.422,35.87039,34.8593,38.41559,11.11,2.22,30,20,10
39,0,0,,4.252,37.22899,35.67327,38.69036,11.11,2.22,30,20,10
40,0,0,,4.252,36.50751,34.95709,39.08679,11.11,2.22,30,20,10
41,0,0,,4.422,35.71684,35.72338,38.84425,11.11,2.22,30,20,10
42,0,0,,4.422,34.87357,36.00097,38.74199,11.11,2.22,30,20,10
43,0,0,,4.252,35.10455,35.59291,38.08811,11.11,2.22,30,20,10
44,0,0,,4.252,35.95634,35.23773,37.92367,11.11,2.22,30,20,10
45,0,0,,4.252,34.53888,34.9405,38.4819,11.11,2.22,30,20,10
46,0,0,,4.422,36.47032,35.11477,39.0474,11.11,2.22,30,20,10
47,0,0,,4.422,36.06175,35.66187,38.74154,11.11,2.22,30,20,10
48,0,0,,4.422,36.14042,36.07778,37.66143,11.11,2.22,30,20,10
49,0,0,,4.422,35.72113,36.60914,37.85274,11.11,2.22,30,20,10
50,0,0,,4.422,35.54607,34.96815,38.37067,11.11,2.22,30,20,10
51,0,0,,4.422,34.5378,36.84819,38.75695,11.11,2.22,30,20,10
52,0,0,,4.422,35.92394,36.60767,38.1376,11.11,2.22,30,20,10
53,0,0,,4.422,34.93097,36.13889,38.51073,11.11,2.22,30,20,10
54,0,0,,4.422,36.46733,37.32098,38.8838,11.11,2.22,30,20,10
55,0,0,,4.422,35.50076,36.95919,38.31593,11.11,2.22,30,20,10
56,0,0,,4.422,36.45965,37.01184,38.60498,11.11,2.22,30,20,10
57,0,0,,4.592,36.80259,36.63431,38.35013,11.11,2.22,30,20,10
58,0,0,,4.592,33.00805,35.50189,38.16588,11.11,2.22,30,20,10
59,0,0,,4.422,37.05456,36.49351,38.24641,11.11,2.22,30,20,10
60,0,0,,4.592,34.47104,36.98413,38.52591,11.11,2.22,30,20,10
61,0,0,,4.422,33.10686,36.12631,37.72503,11.11,2.22,30,20,10
62,0,0,,4.592,35.69201,35.82056,38.11655,11.11,2.22,30,20,10
63,0,0,,4.422,34.88356,34.9115,37.34445,11.11,2.22,30,20,10
64,0,0,,4.422,35.61142,35.37255,37.51443,11.11,2.22,30,20,10
65,0,0,,4.422,36.15859,34.43363,38.82545,11.11,2.22,30,20,10
66,0,0,,4.422,35.70882,36.29126,37.31612,11.11,2.22,30,20,10
