t,R_top,R_bot,c_bot_3,c_top_3,Qd_bot,Qd_top,Vd_1,Vd_2,Vd_3
0,1,1,0.99,0,8.34,1.67,15,15,15
5,1,1,0.71,1.95,8.34,1.67,15,15,15
10,1,1,0.44,3.49,8.34,1.67,15,15,15
15,1,1,0.30,4.31,8.34,1.67,15,15,15
20,1,1,0.26,4.31,8.34,1.67,15,15,15
30,1,1,0.22,4.21,8.34,1.67,15,15,15
32,0,0,0.19,4.10,8.34,1.67,15,15,15
35,0,0,0.21,4.21,8.34,1.67,15,15,15
40,0,0,0.24,4.41,8.34,1.67,15,15,15
45,0,0,0.22,4.41,8.34,1.67,15,15,15
50,0,0,0.24,4.31,8.34,1.67,15,15,15
60,0,0,0.09,4.62,8.34,1.67,15,15,15
70,0,0,0.19,4.51,8.34,1.67,15,15,15
80,0,0,0.21,4.51,8.34,1.67,15,15,15
90,0,0,0.22,4.62,8.34,1.67,15,15,15
