t,R_top,R_bot,c_bot_3,c_top_3,kappa_bot_1,kappa_bot_2,kappa_bot_3,Qd_bot,Qd_top,Vd_1,Vd_2,Vd_3
0,1,1,1.25,0,51.68,50.60,50.85,8.34,1.67,15,15,15
2,1,1,1.02,2.87,32.22,32.60,36.34,8.34,1.67,15,15,15
5,1,1,0.66,5.03,33.26,32.67,31.24,8.34,1.67,15,15,15
10,1,1,0.42,6.15,33.52,33.61,34.20,8.34,1.67,15,15,15
15,1,1,0.33,6.87,35.70,35.14,37.85,8.34,1.67,15,15,15
20,1,1,0.29,6.87,37.81,35.84,39.93,8.34,1.67,15,15,15
30,1,1,0.28,6.67,38.76,39.94,43.00,8.34,1.67,15,15,15
32,0,0,0.28,6.46,39.31,40.18,44.18,8.34,1.67,15,15,15
35,0,0,0.29,6.67,40.53,39.93,43.70,8.34,1.67,15,15,15
40,0,0,0.26,6.87,40.84,40.26,43.27,8.34,1.67,15,15,15
45,0,0,0.25,7.28,39.24,39.62,42.45,8.34,1.67,15,15,15
50,0,0,0.24,7.18,40.18,39.96,43.56,8.34,1.67,15,15,15
60,0,0,0.22,6.56,40.06,39.61,43.83,8.34,1.67,15,15,15
70,0,0,0.20,6.56,40.85,40.02,43.86,8.34,1.67,15,15,15
80,0,0,0.19,6.98,39.97,39.51,42.50,8.34,1.67,15,15,15
90,0,0,0.19,6.36,40.17,40.52,43.14,8.34,1.67,15,15,15
