t,R_top,R_bot,c_bot_3,c_top_3,kappa_bot_1,kappa_bot_2,kappa_bot_3,Qd_bot,Qd_top,Vd_1,Vd_2,Vd_3
0,0,0,1.25,0,47.90780,48.24673,47.00460,8.34,1.67,30,20,10
1,0,0,1.13580179,0.628614,42.40697,44.46003,44.43661,8.34,1.67,30,20,10
2,0,0,1.017522983,1.27969,37.96289,43.85615,40.38298,8.34,1.67,30,20,10
3,0,0,0.938670567,1.71374,38.20166,40.00212,36.23754,8.34,1.67,30,20,10
4,0,0,0.859816333,2.1478,37.05828,40.0186,35.70803,8.34,1.67,30,20,10
5,0,0,0.780963917,2.58185,36.16835,39.3904,36.4921,8.34,1.67,30,20,10
6,0,0,0.741538617,2.79887,36.59961,39.9081,38.03461,8.34,1.67,30,20,10
7,0,0,0.7021115,3.0159,36.19707,41.20226,38.93098,8.34,1.67,30,20,10
8,0,0,0.623259083,3.44995,36.75863,41.58543,39.47329,8.34,1.67,30,20,10
9,0,0,0.583831967,3.66698,37.99816,40.67321,39.7466,8.34,1.67,30,20,10
10,0,0,0.583831967,3.66698,38.77822,40.63879,40.07018,8.34,1.67,30,20,10
11,0,0,0.54440485,3.88401,38.47795,40.92918,39.04588,8.34,1.67,30,20,10
12,0,0,0.50497955,4.10103,37.62255,41.79931,39.29903,8.34,1.67,30,20,10
13,0,0,0.50497955,4.10103,36.48985,41.01028,39.46568,8.34,1.67,30,20,10
14,0,0,0.50497955,4.10103,37.52887,40.87913,40.27751,8.34,1.67,30,20,10
15,0,0,0.50497955,4.10103,37.65788,41.35542,40.39816,8.34,1.67,30,20,10
16,0,0,0.50497955,4.10103,37.09282,41.50129,40.17367,8.34,1.67,30,20,10
17,0,0,0.465552433,4.31806,37.17465,41.75902,40.68703,8.34,1.67,30,20,10
18,0,0,0.426127133,4.53508,37.80849,41.82685,40.33101,8.34,1.67,30,20,10
19,0,0,0.386700017,4.75211,37.94709,41.76731,40.31351,8.34,1.67,30,20,10
20,0,0,0.386700017,4.75211,37.66832,41.57945,40.55431,8.34,1.67,30,20,10
21,0,0,0.386700017,4.75211,37.50969,41.52883,40.88364,8.34,1.67,30,20,10
22,0,0,0.3472729,4.96914,37.94449,41.74119,40.93432,8.34,1.67,30,20,10
23,0,0,0.3472729,4.96914,38.84222,41.76184,40.99741,8.34,1.67,30,20,10
24,0,0,0.3472729,4.96914,38.8136,42.11793,40.76751,8.34,1.67,30,20,10
25,0,0,0.386700017,4.75211,37.43926,42.24219,41.0789,8.34,1.67,30,20,10
26,0,0,0.3472729,4.96914,38.36497,42.09185,41.07676,8.34,1.67,30,20,10
27,0,0,0.3472729,4.96914,37.59044,42.6296,41.16411,8.34,1.67,30,20,10
28,0,0,0.3472729,4.96914,38.1139,41.91088,41.10858,8.34,1.67,30,20,10
29,0,0,0.3078476,5.18616,38.15059,42.49083,40.97411,8.34,1.67,30,20,10
30,0,0,0.3078476,5.18616,38.12812,41.44294,40.9267,8.34,1.67,30,20,10
31,0,0,0.3078476,5.18616,37.00846,42.43101,40.52784,8.34,1.67,30,20,10
32,0,0,0.3078476,5.18616,37.00958,41.93712,40.99228,8.34,1.67,30,20,10
33,0,0,0.3078476,5.18616,36.57952,42.66436,41.12128,8.34,1.67,30,20,10
34,0,0,0.3078476,5.18616,37.41082,41.68673,40.90706,8.34,1.67,30,20,10
35,0,0,0.3078476,5.18616,37.68502,42.42215,41.02896,8.34,1.67,30,20,10
36,0,0,0.3078476,5.18616,38.38359,42.04349,41.26276,8.34,1.67,30,20,10
37,0,0,0.3078476,5.18616,38.66824,42.16426,40.99606,8.34,1.67,30,20,10
38,0,0,0.3078476,5.18616,36.36722,41.67702,41.25367,8.34,1.67,30,20,10
39,0,0,0.3078476,5.18616,38.44256,42.0506,41.24024,8.34,1.67,30,20,10
40,0,0,0.3078476,5.18616,36.42862,42.27199,41.32167,8.34,1.67,30,20,10
41,0,0,0.3078476,5.18616,36.60096,42.14507,41.53538,8.34,1.67,30,20,10
42,0,0,0.3078476,5.18616,37.08035,42.02814,41.20514,8.34,1.67,30,20,10
43,0,0,0.268420483,5.40319,36.33477,42.30145,41.21665,8.34,1.67,30,20,10
44,0,0,0.268420483,5.40319,37.62769,40.9565,40.78754,8.34,1.67,30,20,10
45,0,0,0.268420483,5.40319,37.81041,41.93768,40.84172,8.34,1.67,30,20,10
46,0,0,0.268420483,5.40319,35.79703,42.20049,40.85712,8.34,1.67,30,20,10
47,0,0,0.3078476,5.18616,38.23421,41.90766,40.80278,8.34,1.67,30,20,10
48,0,0,0.3078476,5.18616,38.32045,42.39653,40.84883,8.34,1.67,30,20,10
49,0,0,0.3078476,5.18616,37.29649,41.847,40.45296,8.34,1.67,30,20,10
50,0,0,0.268420483,5.40319,38.5065,41.55112,40.62502,8.34,1.67,30,20,10
51,0,0,0.268420483,5.40319,38.71242,41.49966,40.42542,8.34,1.67,30,20,10
52,0,0,0.268420483,5.40319,40.31013,41.26061,40.59404,8.34,1.67,30,20,10
53,0,0,0.268420483,5.40319,36.24487,40.66553,40.1371,8.34,1.67,30,20,10
54,0,0,0.268420483,5.40319,38.36249,41.4184,40.19043,8.34,1.67,30,20,10
55,0,0,0.268420483,5.40319,38.08445,41.35643,40.50013,8.34,1.67,30,20,10
56,0,0,0.268420483,5.40319,37.38266,40.92456,40.05985,8.34,1.67,30,20,10
57,0,0,0.268420483,5.40319,37.6708,41.11344,40.3331,8.34,1.67,30,20,10
58,0,0,0.268420483,5.40319,38.94915,41.25745,40.15437,8.34,1.67,30,20,10
59,0,0,0.268420483,5.40319,37.60872,41.23042,40.19314,8.34,1.67,30,20,10
60,0,0,0.228995183,5.62021,37.08915,40.78184,39.96290,8.34,1.67,30,20,10
