t,R_top,R_bot,c_bot_3,c_top_3,kappa_bot_1,kappa_bot_2,kappa_bot_3,Qd_bot,Qd_top,Vd_1,Vd_2,Vd_3
0,0,0,1,0,47.43039,47.81407,47.22458,8.34,1.67,20,10,0
1,0,0,0.931173585,0.378861,46.20688,47.59048,46.78892,8.34,1.67,20,10,0
2,0,0,0.931173585,0.378861,44.88868,46.75788,46.26727,8.34,1.67,20,10,0
3,0,0,0.820458833,0.9883,45.19313,46.73193,46.26969,8.34,1.67,20,10,0
4,0,0,0.78355325,1.19145,45.05505,46.48978,46.40688,8.34,1.67,20,10,0
5,0,0,0.7097439,1.59774,44.7704,46.21585,45.61519,8.34,1.67,20,10,0
6,0,0,0.63593455,2.00403,45.11644,46.02844,45.26063,8.34,1.67,20,10,0
7,0,0,0.599028967,2.20718,45.21576,46.15163,45.14319,8.34,1.67,20,10,0
8,0,0,0.5621252,2.41032,45.73618,46.38278,45.50047,8.34,1.67,20,10,0
9,0,0,0.488314033,2.81662,44.8739,46.4031,45.835,8.34,1.67,20,10,0
10,0,0,0.488314033,2.81662,45.19494,46.45558,45.84916,8.34,1.67,20,10,0
11,0,0,0.488314033,2.81662,45.28484,46.31422,45.68206,8.34,1.67,20,10,0
12,0,0,0.414504683,3.22291,45.4091,46.42956,45.75768,8.34,1.67,20,10,0
13,0,0,0.414504683,3.22291,45.99983,46.51099,45.70678,8.34,1.67,20,10,0
14,0,0,0.414504683,3.22291,46.08707,46.38126,45.93939,8.34,1.67,20,10,0
15,0,0,0.414504683,3.22291,46.0684,46.50958,45.90271,8.34,1.67,20,10,0
16,0,0,0.414504683,3.22291,45.9754,46.52245,45.92771,8.34,1.67,20,10,0
17,0,0,0.414504683,3.22291,45.69849,46.47747,45.93697,8.34,1.67,20,10,0
18,0,0,0.3775991,3.42606,46.18583,46.42172,45.84961,8.34,1.67,20,10,0
19,0,0,0.3775991,3.42606,46.03341,46.52031,46.01846,8.34,1.67,20,10,0
20,0,0,0.340695333,3.6292,46.05158,46.49485,45.83878,8.34,1.67,20,10,0
21,0,0,0.3775991,3.42606,45.84408,46.51489,45.82027,8.34,1.67,20,10,0
22,0,0,0.340695333,3.6292,45.76067,46.60309,46.03736,8.34,1.67,20,10,0
23,0,0,0.340695333,3.6292,45.70328,46.59152,46.08533,8.34,1.67,20,10,0
24,0,0,0.340695333,3.6292,45.45385,46.44903,46.04114,8.34,1.67,20,10,0
25,0,0,0.340695333,3.6292,45.91592,46.45879,46.08059,8.34,1.67,20,10,0
26,0,0,0.340695333,3.6292,45.85649,46.56156,45.91101,8.34,1.67,20,10,0
27,0,0,0.340695333,3.6292,46.19616,46.58859,45.92049,8.34,1.67,20,10,0
28,0,0,0.340695333,3.6292,46.0057,46.58154,45.74611,8.34,1.67,20,10,0
29,0,0,0.340695333,3.6292,45.56423,46.4632,46.00282,8.34,1.67,20,10,0
30,0,0,0.30378975,3.83235,45.70779,46.3913,45.96783,8.34,1.67,20,10,0
31,0,0,0.30378975,3.83235,45.53568,46.4189,45.85886,8.34,1.67,20,10,0
32,0,0,0.340695333,3.6292,44.8195,46.41167,45.73347,8.34,1.67,20,10,0
33,0,0,0.266884167,4.0355,45.95728,46.27099,46.02319,8.34,1.67,20,10,0
34,0,0,0.30378975,3.83235,45.98313,46.35186,45.95203,8.34,1.67,20,10,0
35,0,0,0.2299804,4.23864,45.32919,46.40693,45.91084,8.34,1.67,20,10,0
36,0,0,0.2299804,4.23864,45.56756,46.48075,45.81406,8.34,1.67,20,10,0
37,0,0,0.193074817,4.44179,45.33275,46.47256,45.77241,8.34,1.67,20,10,0
38,0,0,0.193074817,4.44179,46.1272,46.35913,46.0724,8.34,1.67,20,10,0
39,0,0,0.2299804,4.23864,46.10242,46.40439,45.90768,8.34,1.67,20,10,0
40,0,0,0.2299804,4.23864,45.99046,46.35812,45.8881,8.34,1.67,20,10,0
41,0,0,0.2299804,4.23864,45.75317,46.3764,45.81964,8.34,1.67,20,10,0
42,0,0,0.193074817,4.44179,45.45543,46.39937,46.00914,8.34,1.67,20,10,0
43,0,0,0.193074817,4.44179,45.61858,46.44931,46.00468,8.34,1.67,20,10,0
44,0,0,0.2299804,4.23864,43.99909,46.49818,45.91343,8.34,1.67,20,10,0
45,0,0,0.2299804,4.23864,45.96292,46.47635,45.82642,8.34,1.67,20,10,0
46,0,0,0.2299804,4.23864,45.45803,46.36754,45.94673,8.34,1.67,20,10,0
47,0,0,0.2299804,4.23864,45.87309,46.36004,45.85943,8.34,1.67,20,10,0
48,0,0,0.156169233,4.64494,45.51931,46.42742,45.75497,8.34,1.67,20,10,0
49,0,0,0.156169233,4.64494,45.83844,46.33171,46.03234,8.34,1.67,20,10,0
50,0,0,0.119265467,4.84808,45.53275,46.37505,45.86682,8.34,1.67,20,10,0
51,0,0,0.156169233,4.64494,45.30764,46.29164,45.67264,8.34,1.67,20,10,0
52,0,0,0.193074817,4.44179,45.31497,46.34367,45.86411,8.34,1.67,20,10,0
53,0,0,0.193074817,4.44179,44.29259,46.27071,45.68771,8.34,1.67,20,10,0
54,0,0,0.193074817,4.44179,45.07119,46.27138,45.79882,8.34,1.67,20,10,0
55,0,0,0.2299804,4.23864,44.98597,46.44717,45.5828,8.34,1.67,20,10,0
56,0,0,0.2299804,4.23864,44.41629,46.36213,45.48839,8.34,1.67,20,10,0
57,0,0,0.2299804,4.23864,45.61243,46.3825,45.58218,8.34,1.67,20,10,0
58,0,0,0.193074817,4.44179,44.66346,46.21416,45.81219,8.34,1.67,20,10,0
59,0,0,0.193074817,4.44179,44.51324,46.26394,45.71293,8.34,1.67,20,10,0
60,0,0,0.2299804,4.23864,45.06075,46.32217,45.88234,8.34,1.67,20,10,0
