t,R_top,R_bot,c_bot_3,c_top_3,Qd_bot,Qd_top,Vd_1,Vd_2,Vd_3
0,0,0,1.25,0.00,8.34,1.67,15,15,15
2,0,0,1.14,2.66,8.34,1.67,15,15,15
5,0,0,0.68,3.39,8.34,1.67,15,15,15
10,0,0,0.40,5.60,8.34,1.67,15,15,15
15,0,0,0.38,6.76,8.34,1.67,15,15,15
20,0,0,0.35,6.87,8.34,1.67,15,15,15
30,0,0,0.28,7.29,8.34,1.67,15,15,15
40,0,0,0.29,6.97,8.34,1.67,15,15,15
50,0,0,0.30,6.87,8.34,1.67,15,15,15
60,0,0,0.29,5.82,8.34,1.67,15,15,15

