t,R_top,R_bot,c_bot_3,c_top_3,kappa_bot_1,kappa_bot_2,kappa_bot_3,Qd_bot,Qd_top,Vd_1,Vd_2,Vd_3
0,0,0,1,0,46.88062,46.51054,50.32518,8.34,1.67,30,30,0
1,0,0,0.855616783,0.79477,31.09217,38.82703,44.08944,8.34,1.67,30,30,0
2,0,0,0.758370617,1.33007,29.80936,30.41804,38.09359,8.34,1.67,30,30,0
3,0,0,0.8069937,1.06242,32.48689,30.23407,36.39673,8.34,1.67,30,30,0
4,0,0,0.612503183,2.13301,29.80411,29.90891,36.83414,8.34,1.67,30,30,0
5,0,0,0.515257017,2.66831,31.07558,29.83284,38.60802,8.34,1.67,30,30,0
6,0,0,0.466633933,2.93596,32.0417,32.90821,38.33128,8.34,1.67,30,30,0
7,0,0,0.418012667,3.2036,31.62851,34.17833,41.30401,8.34,1.67,30,30,0
8,0,0,0.418012667,3.2036,32.45078,35.25568,41.55654,8.34,1.67,30,30,0
9,0,0,0.418012667,3.2036,32.60969,35.29089,41.98655,8.34,1.67,30,30,0
10,0,0,0.418012667,3.2036,35.20077,35.19789,42.38068,8.34,1.67,30,30,0
11,0,0,0.369389583,3.47125,33.03406,38.74984,42.34377,8.34,1.67,30,30,0
12,0,0,0.369389583,3.47125,33.94685,34.58752,42.58795,8.34,1.67,30,30,0
13,0,0,0.3207665,3.7389,37.53519,39.21421,42.86356,8.34,1.67,30,30,0
14,0,0,0.3207665,3.7389,35.86215,40.44432,42.65059,8.34,1.67,30,30,0
15,0,0,0.272143417,4.00655,37.48717,39.92001,42.69687,8.34,1.67,30,30,0
16,0,0,0.272143417,4.00655,35.11516,41.25474,42.50466,8.34,1.67,30,30,0
17,0,0,0.272143417,4.00655,35.31843,38.79803,42.6502,8.34,1.67,30,30,0
18,0,0,0.272143417,4.00655,35.32283,39.32872,42.57311,8.34,1.67,30,30,0
19,0,0,0.272143417,4.00655,38.24928,41.18008,42.39964,8.34,1.67,30,30,0
20,0,0,0.272143417,4.00655,36.37213,40.26289,42.32464,8.34,1.67,30,30,0
