t,R_top,R_bot,c_bot_3,c_top_3,kappa_bot_1,kappa_bot_2,kappa_bot_3,Qd_bot,Qd_top,Vd_1,Vd_2,Vd_3
0,0,0,,0,50.7529,50.7095,52.0903,16.67,3.34,10,10,0
1,0,0,,0.3425,49.5734,50.2898,51.7868,16.67,3.34,10,10,0
2,0,0,,0.3425,48.8469,50.1478,51.4639,16.67,3.34,10,10,0
3,0,0,,0.3425,48.8835,50.0279,51.0242,16.67,3.34,10,10,0
4,0,0,,0.3425,48.9969,49.8408,50.8257,16.67,3.34,10,10,0
5,0,0,,0.5124,49.1108,49.6209,51.4638,16.67,3.34,10,10,0
6,0,0,,0.5124,49.4639,49.5803,51.2863,16.67,3.34,10,10,0
7,0,0,,0.6824,48.6758,49.3367,50.9450,16.67,3.34,10,10,0
8,0,0,,0.8524,49.1040,49.2149,50.9152,16.67,3.34,10,10,0
9,0,0,,1.0224,49.0871,49.2559,50.9191,16.67,3.34,10,10,0
10,0,0,,1.1924,48.9756,49.2977,50.8416,16.67,3.34,10,10,0
11,0,0,,1.1924,48.9204,49.2555,50.7479,16.67,3.34,10,10,0
12,0,0,,1.3624,48.8308,49.3031,50.6755,16.67,3.34,10,10,0
13,0,0,,1.3624,48.7963,49.2147,50.5125,16.67,3.34,10,10,0
14,0,0,,1.5323,49.0649,49.1960,50.4924,16.67,3.34,10,10,0
15,0,0,,1.5323,48.8862,49.2106,50.5351,16.67,3.34,10,10,0
16,0,0,,1.5323,48.7942,49.0496,50.4469,16.67,3.34,10,10,0
17,0,0,,1.5323,48.6925,49.0346,50.5064,16.67,3.34,10,10,0
18,0,0,,1.8723,48.6391,49.1407,50.4823,16.67,3.34,10,10,0
19,0,0,,1.8723,48.8778,49.0436,50.5378,16.67,3.34,10,10,0
20,0,0,,1.8723,49.0026,49.0842,50.5034,16.67,3.34,10,10,0
21,0,0,,1.8723,48.9198,49.1138,50.5431,16.67,3.34,10,10,0
22,0,0,,2.0423,48.8123,49.0877,50.4209,16.67,3.34,10,10,0
23,0,0,,2.0423,48.4546,49.0837,50.4219,16.67,3.34,10,10,0
24,0,0,,2.0423,48.7977,49.0140,50.5735,16.67,3.34,10,10,0
25,0,0,,2.0423,48.5827,48.9713,50.4904,16.67,3.34,10,10,0
26,0,0,,2.0423,48.6881,48.9890,50.4347,16.67,3.34,10,10,0
27,0,0,,2.0423,48.6351,48.9834,50.4159,16.67,3.34,10,10,0
28,0,0,,2.0423,48.4154,48.8988,50.4542,16.67,3.34,10,10,0
29,0,0,,2.0423,48.5506,48.8930,50.3335,16.67,3.34,10,10,0
30,0,0,,2.0423,48.4091,48.8652,50.3602,16.67,3.34,10,10,0
31,0,0,,2.0423,48.34357,48.83633,50.36468,16.67,3.34,10,10,0
32,0,0,,2.0423,48.34103,48.75834,50.3052,16.67,3.34,10,10,0
33,0,0,,2.0423,48.22963,48.77093,50.29409,16.67,3.34,10,10,0
34,0,0,,2.0423,48.60756,48.75484,50.32777,16.67,3.34,10,10,0
35,0,0,,2.2123,48.34063,48.79802,50.19398,16.67,3.34,10,10,0
36,0,0,,2.2123,48.24515,48.79305,50.24685,16.67,3.34,10,10,0
37,0,0,,2.2123,48.18443,48.79181,50.14827,16.67,3.34,10,10,0
38,0,0,,2.2123,48.4123,48.85597,50.26756,16.67,3.34,10,10,0
39,0,0,,2.5522,48.42822,48.85056,50.34623,16.67,3.34,10,10,0
40,0,0,,2.3822,48.33352,48.87617,50.26824,16.67,3.34,10,10,0
41,0,0,,2.2123,48.51794,48.8786,50.24014,16.67,3.34,10,10,0
42,0,0,,2.3822,48.13945,48.91291,50.21689,16.67,3.34,10,10,0
43,0,0,,2.2123,48.42353,48.88351,50.23878,16.67,3.34,10,10,0
44,0,0,,2.2123,48.44639,48.83035,50.3569,16.67,3.34,10,10,0
45,0,0,,2.2123,48.41619,48.79852,50.35514,16.67,3.34,10,10,0
46,0,0,,2.2123,48.66771,48.76353,50.35661,16.67,3.34,10,10,0
47,0,0,,2.2123,48.22241,48.83436,50.36914,16.67,3.34,10,10,0
48,0,0,,2.2123,48.271,48.7009,50.36519,16.67,3.34,10,10,0
49,0,0,,2.2123,48.39464,48.7128,50.34657,16.67,3.34,10,10,0
50,0,0,,2.3822,48.46563,48.67048,50.33585,16.67,3.34,10,10,0
51,0,0,,2.2123,48.53126,48.65502,50.3363,16.67,3.34,10,10,0
52,0,0,,2.2123,48.57799,48.65174,50.37027,16.67,3.34,10,10,0
53,0,0,,2.2123,48.28782,48.71557,50.3657,16.67,3.34,10,10,0
54,0,0,,2.3822,48.59294,48.74796,50.34002,16.67,3.34,10,10,0
55,0,0,,2.2123,48.16293,48.62951,50.31181,16.67,3.34,10,10,0
56,0,0,,2.2123,48.23381,48.66952,50.42755,16.67,3.34,10,10,0
57,0,0,,2.3822,48.50005,48.6351,50.3385,16.67,3.34,10,10,0
58,0,0,,2.2123,48.26281,48.60355,50.31655,16.67,3.34,10,10,0
59,0,0,,2.3822,48.16124,48.60022,50.25221,16.67,3.34,10,10,0
60,0,0,,2.3822,47.85131,48.62415,50.26451,16.67,3.34,10,10,0
