t,R_top,R_bot,c_bot_3,c_top_3,kappa_bot_1,kappa_bot_2,kappa_bot_3,Qd_bot,Qd_top,Vd_1,Vd_2,Vd_3
0,0,0,,0,44.74687,44.01591,44.84455,8.34,1.67,30,20,10
1,0,0,,1.93344,31.47230,41.00204,39.14802,8.34,1.67,30,20,10
2,0,0,,3.87789,30.51538,35.18818,36.74311,8.34,1.67,30,20,10
3,0,0,,4.15567,30.42058,36.16976,36.02592,8.34,1.67,30,20,10
4,0,0,,4.43344,31.40374,33.6727,37.13915,8.34,1.67,30,20,10
5,0,0,,4.989,32.98423,33.76463,37.79563,8.34,1.67,30,20,10
6,0,0,,6.10011,32.00711,34.2399,38.32033,8.34,1.67,30,20,10
7,0,0,,6.65567,34.17398,36.26519,39.40941,8.34,1.67,30,20,10
8,0,0,,7.489,35.42514,34.76088,40.3586,8.34,1.67,30,20,10
9,0,0,,8.87789,36.43488,39.09926,40.94538,8.34,1.67,30,20,10
10,0,0,,9.15567,36.5886,37.56245,41.10571,8.34,1.67,30,20,10
11,0,0,,9.43344,37.76656,36.62229,41.34351,8.34,1.67,30,20,10
12,0,0,,9.71122,37.95488,39.96888,41.50406,8.34,1.67,30,20,10
13,0,0,,10.2668,38.97816,40.69545,41.79226,8.34,1.67,30,20,10
14,0,0,,10.5446,39.13741,40.47581,41.93825,8.34,1.67,30,20,10
15,0,0,,10.8223,39.23662,40.41774,41.7439,8.34,1.67,30,20,10
16,0,0,,11.1001,39.87216,39.58554,41.84175,8.34,1.67,30,20,10
17,0,0,,11.3779,39.91645,40.11245,41.76895,8.34,1.67,30,20,10
18,0,0,,11.6557,39.44361,40.98878,41.79886,8.34,1.67,30,20,10
19,0,0,,12.2112,40.04608,41.28516,41.84892,8.34,1.67,30,20,10
20,0,0,,12.2112,40.25307,41.25192,41.79852,8.34,1.67,30,20,10
21,0,0,,12.489,40.31176,40.94425,41.96268,8.34,1.67,30,20,10
22,0,0,,12.489,40.8021,41.16298,41.83938,8.34,1.67,30,20,10
23,0,0,,12.489,39.81053,41.14775,41.85332,8.34,1.67,30,20,10
24,0,0,,12.2112,39.09447,41.28793,41.73075,8.34,1.67,30,20,10
25,0,0,,13.0446,40.53901,40.79465,41.83041,8.34,1.67,30,20,10
26,0,0,,13.0446,40.00799,41.3829,41.65406,8.34,1.67,30,20,10
27,0,0,,13.0446,40.42062,41.31823,41.68605,8.34,1.67,30,20,10
28,0,0,,13.0446,39.31252,39.94382,41.39577,8.34,1.67,30,20,10
29,0,0,,13.6001,37.95443,38.39093,41.05999,8.34,1.67,30,20,10
30,0,0,,13.3223,38.80136,40.8977,41.29565,8.34,1.67,30,20,10
31,0,0,,13.3223,37.04429,38.91377,41.14126,8.34,1.67,30,20,10
32,0,0,,13.3223,38.3736,40.30352,41.12478,8.34,1.67,30,20,10
33,0,0,,13.3223,37.67001,40.82134,40.96243,8.34,1.67,30,20,10
34,0,0,,13.6001,37.52554,38.55611,40.49652,8.34,1.67,30,20,10
35,0,0,,13.6001,36.5592,39.26038,40.81841,8.34,1.67,30,20,10
36,0,0,,13.8779,36.4697,38.3398,40.6516,8.34,1.67,30,20,10
37,0,0,,13.8779,35.07284,40.39268,40.28247,8.34,1.67,30,20,10
38,0,0,,13.6001,36.60322,37.16991,40.19184,8.34,1.67,30,20,10
39,0,0,,13.6001,35.01595,38.05826,40.24935,8.34,1.67,30,20,10
40,0,0,,13.6001,35.86695,37.12386,39.55851,8.34,1.67,30,20,10
41,0,0,,14.1557,36.14657,37.93135,39.64637,8.34,1.67,30,20,10
42,0,0,,13.8779,35.39077,38.46085,39.50693,8.34,1.67,30,20,10
43,0,0,,13.8779,36.20582,39.0202,39.16822,8.34,1.67,30,20,10
44,0,0,,13.8779,33.79758,36.99401,39.2948,8.34,1.67,30,20,10
45,0,0,,13.8779,34.37421,37.15614,39.23165,8.34,1.67,30,20,10
46,0,0,,13.8779,34.60259,36.40536,39.16388,8.34,1.67,30,20,10
47,0,0,,13.8779,33.46514,37.63423,38.48173,8.34,1.67,30,20,10
48,0,0,,14.1557,34.66037,36.93261,37.85635,8.34,1.67,30,20,10
49,0,0,,14.1557,33.22497,38.86761,38.39087,8.34,1.67,30,20,10
50,0,0,,14.1557,34.03669,35.97976,38.46785,8.34,1.67,30,20,10
51,0,0,,14.1557,33.35804,35.99957,38.37355,8.34,1.67,30,20,10
52,0,0,,14.1557,32.63288,36.98746,38.41508,8.34,1.67,30,20,10
53,0,0,,14.1557,34.63447,38.26164,38.40594,8.34,1.67,30,20,10
54,0,0,,14.4334,32.54186,37.25478,37.99224,8.34,1.67,30,20,10
55,0,0,,14.1557,33.26859,35.05907,38.51694,8.34,1.67,30,20,10
56,0,0,,14.1557,34.1947,36.21293,39.22121,8.34,1.67,30,20,10
57,0,0,,14.1557,32.90443,36.59678,38.65577,8.34,1.67,30,20,10
58,0,0,,14.1557,35.31392,35.70882,38.91829,8.34,1.67,30,20,10
59,0,0,,14.1557,35.81543,36.88826,39.15350,8.34,1.67,30,20,10
60,0,0,,14.4334,34.02755,37.87164,39.34542,8.34,1.67,30,20,10
