t,R_top,R_bot,c_bot_3,c_top_3,kappa_bot_1,kappa_bot_2,kappa_bot_3,Qd_bot,Qd_top,Vd_1,Vd_2,Vd_3
0,0,0,1.00,0,49.21,49.67,49.59,8.34,1.67,15,15,15
2,0,0,0.73,1.50,29.99,32.54,35.32,8.34,1.67,15,15,15
5,0,0,0.47,2.50,30.50,32.27,36.06,8.34,1.67,15,15,15
10,0,0,0.32,3.34,31.54,35.58,37.07,8.34,1.67,15,15,15
15,0,0,0.25,3.66,33.69,34.69,35.02,8.34,1.67,15,15,15
20,0,0,0.25,3.66,33.57,35.98,40.50,8.34,1.67,15,15,15
30,0,0,0.21,3.76,34.78,36.06,37.90,8.34,1.67,15,15,15
40,0,0,0.20,3.81,35.72,37.20,39.77,8.34,1.67,15,15,15
50,0,0,0.19,3.71,35.26,36.69,40.73,8.34,1.67,15,15,15
60,0,0,0.19,3.50,35.78,37.34,39.52,8.34,1.67,15,15,15
