t,R_top,R_bot,c_bot_3,c_top_3,kappa_bot_1,kappa_bot_2,kappa_bot_3,Qd_bot,Qd_top,Vd_1,Vd_2,Vd_3
0,0,0,1.5,0,47.19585,47.77914,46.27302,16.67,3.33,15,15,15
1,0,0,1.38580179,0.628614,42.54235,41.21292,44.32843,16.67,3.33,15,15,15
2,0,0,1.267522983,1.27969,36.75349,37.53226,40.03931,16.67,3.33,15,15,15
3,0,0,1.188670567,1.71374,33.24229,35.43158,37.42221,16.67,3.33,15,15,15
4,0,0,0.991538617,2.79887,32.83017,34.8953,35.1664,16.67,3.33,15,15,15
5,0,0,0.912684383,3.23293,33.22672,34.32912,33.47113,16.67,3.33,15,15,15
6,0,0,0.873259083,3.44995,33.45087,35.13226,33.99955,16.67,3.33,15,15,15
7,0,0,0.79440485,3.88401,33.45848,36.06649,34.16648,16.67,3.33,15,15,15
8,0,0,0.75497955,4.10103,34.63278,35.33705,34.77956,16.67,3.33,15,15,15
9,0,0,0.676127133,4.53508,35.18271,36.95857,36.34679,16.67,3.33,15,15,15
10,0,0,0.636700017,4.75211,35.68992,36.17033,36.89802,16.67,3.33,15,15,15
11,0,0,0.636700017,4.75211,35.46628,36.75293,37.16754,16.67,3.33,15,15,15
12,0,0,0.676127133,4.53508,36.32986,36.87432,36.88385,16.67,3.33,15,15,15
13,0,0,0.636700017,4.75211,35.84804,37.33125,36.17749,16.67,3.33,15,15,15
14,0,0,0.5972729,4.96914,35.32057,36.34419,37.14051,16.67,3.33,15,15,15
15,0,0,0.5578476,5.18616,37.68423,38.12716,36.1846,16.67,3.33,15,15,15
16,0,0,0.5972729,4.96914,35.86892,38.22389,37.94432,16.67,3.33,15,15,15
17,0,0,0.5578476,5.18616,36.38686,38.24003,37.6173,16.67,3.33,15,15,15
18,0,0,0.5578476,5.18616,36.94903,37.4962,37.23509,16.67,3.33,15,15,15
19,0,0,0.5578476,5.18616,37.26364,39.02353,37.28271,16.67,3.33,15,15,15
20,0,0,0.5578476,5.18616,35.99652,38.17914,38.07502,16.67,3.33,15,15,15
21,0,0,0.518420483,5.40319,38.62196,37.00817,38.59188,16.67,3.33,15,15,15
22,0,0,0.518420483,5.40319,36.51665,38.49629,38.71795,16.67,3.33,15,15,15
23,0,0,0.518420483,5.40319,37.73688,38.2205,39.48594,16.67,3.33,15,15,15
24,0,0,0.518420483,5.40319,37.37617,38.07858,38.98623,16.67,3.33,15,15,15
25,0,0,0.478995183,5.62021,36.39064,35.89849,39.4799,16.67,3.33,15,15,15
26,0,0,0.478995183,5.62021,37.43029,37.15422,39.41969,16.67,3.33,15,15,15
27,0,0,0.478995183,5.62021,36.95225,39.28916,38.03828,16.67,3.33,15,15,15
28,0,0,0.439568067,5.83724,37.00682,38.27439,37.14525,16.67,3.33,15,15,15
29,0,0,0.439568067,5.83724,36.45937,36.48279,37.12166,16.67,3.33,15,15,15
30,0,0,0.439568067,5.83724,34.95072,35.85927,37.48232,16.67,3.33,15,15,15
31,0,0,0.439568067,5.83724,35.42119,36.78753,37.3725,16.67,3.33,15,15,15
32,0,0,0.478995183,5.62021,35.48423,36.63189,37.40015,16.67,3.33,15,15,15
33,0,0,0.439568067,5.83724,33.84657,35.87417,35.78766,16.67,3.33,15,15,15
34,0,0,0.478995183,5.62021,35.795,36.38437,36.92663,16.67,3.33,15,15,15
35,0,0,0.478995183,5.62021,34.85365,35.97107,35.43237,16.67,3.33,15,15,15
36,0,0,0.439568067,5.83724,35.0414,36.08776,36.95146,16.67,3.33,15,15,15
37,0,0,0.478995183,5.62021,35.01736,35.12554,36.1539,16.67,3.33,15,15,15
38,0,0,0.478995183,5.62021,34.2952,36.33342,35.27594,16.67,3.33,15,15,15
39,0,0,0.478995183,5.62021,35.22408,35.58146,36.49526,16.67,3.33,15,15,15
40,0,0,0.478995183,5.62021,35.03107,35.51205,35.28,16.67,3.33,15,15,15
41,0,0,0.478995183,5.62021,34.06022,34.52087,35.76272,16.67,3.33,15,15,15
42,0,0,0.439568067,5.83724,34.11631,34.05994,35.27182,16.67,3.33,15,15,15
43,0,0,0.478995183,5.62021,33.29726,34.75856,35.82575,16.67,3.33,15,15,15
44,0,0,0.439568067,5.83724,33.12542,35.92959,35.56543,16.67,3.33,15,15,15
45,0,0,0.439568067,5.83724,33.98703,34.21484,36.33285,16.67,3.33,15,15,15
46,0,0,0.439568067,5.83724,33.33366,35.42289,34.2838,16.67,3.33,15,15,15
47,0,0,0.439568067,5.83724,34.18398,35.23615,35.20613,16.67,3.33,15,15,15
48,0,0,0.439568067,5.83724,33.59861,35.57553,34.58842,16.67,3.33,15,15,15
49,0,0,0.478995183,5.62021,33.71864,36.06553,35.284,16.67,3.33,15,15,15
50,0,0,0.439568067,5.83724,33.76801,34.96737,35.93845,16.67,3.33,15,15,15
