t,R_top,R_bot,c_bot_3,c_top_3,Qd_bot,Qd_top,Vd_1,Vd_2,Vd_3
0,0,0,1.50,0.00,8.34,1.67,15,15,15
2,0,0,0.83,3.18,8.34,1.67,15,15,15
5,0,0,0.46,5.50,8.34,1.67,15,15,15
10,0,0,0.35,7.29,8.34,1.67,15,15,15
15,0,0,0.32,8.24,8.34,1.67,15,15,15
20,0,0,0.30,7.61,8.34,1.67,15,15,15
30,0,0,0.27,8.13,8.34,1.67,15,15,15
40,0,0,0.28,7.50,8.34,1.67,15,15,15
50,0,0,0.27,7.18,8.34,1.67,15,15,15
60,0,0,0.27,7.08,8.34,1.67,15,15,15

