t,R_top,R_bot,c_bot_3,c_top_3,kappa_bot_1,kappa_bot_2,kappa_bot_3,Qd_bot,Qd_top,Vd_1,Vd_2,Vd_3
0,1,1,1.25,0,51.54,50.84,50.91,8.34,1.67,15,15,15
2,1,1,0.76,5.33,38.16,40.78,44.06,8.34,1.67,15,15,15
5,1,1,0.54,5.74,36.14,37.17,39.76,8.34,1.67,15,15,15
10,1,1,0.38,7.39,35.24,38.60,40.67,8.34,1.67,15,15,15
15,1,1,0.33,7.80,35.54,38.60,40.94,8.34,1.67,15,15,15
20,1,1,0.31,8.41,36.84,38.25,41.06,8.34,1.67,15,15,15
30,1,1,0.28,8.00,39.01,39.68,43.55,8.34,1.67,15,15,15
32,0,0,0.27,7.90,39.62,39.65,42.29,8.34,1.67,15,15,15
35,0,0,0.28,8.62,35.24,36.77,39.93,8.34,1.67,15,15,15
40,0,0,0.28,8.62,38.55,38.31,42.22,8.34,1.67,15,15,15
45,0,0,0.27,8.21,37.08,37.96,43.17,8.34,1.67,15,15,15
50,0,0,0.27,8.31,36.16,38.28,42.16,8.34,1.67,15,15,15
60,0,0,0.22,8.31,35.30,37.81,40.74,8.34,1.67,15,15,15
70,0,0,0.23,7.49,33.60,35.38,40.12,8.34,1.67,15,15,15
80,0,0,0.22,8.51,32.66,34.30,36.26,8.34,1.67,15,15,15
90,0,0,0.20,7.28,32.15,32.31,36.12,8.34,1.67,15,15,15
