t,R_top,R_bot,c_bot_3,c_top_3,kappa_bot_1,kappa_bot_2,kappa_bot_3,Qd_bot,Qd_top,Vd_1,Vd_2,Vd_3
0,0,0,1.5,0,45.64471,47.23287,44.38672,5.56,1.11,15,15,15
1,0,0,1.46465457,0.194562,39.80173,43.80164,42.51955,5.56,1.11,15,15,15
2,0,0,1.38580179,0.628614,34.67995,35.13564,41.76647,5.56,1.11,15,15,15
3,0,0,1.38580179,0.628614,31.87365,33.55402,36.76585,5.56,1.11,15,15,15
4,0,0,1.14924345,1.93077,29.16485,32.21642,34.05102,5.56,1.11,15,15,15
5,0,0,1.030963917,2.58185,30.72582,31.64256,30.92102,5.56,1.11,15,15,15
6,0,0,0.912684383,3.23293,30.4313,32.52995,32.15852,5.56,1.11,15,15,15
7,0,0,0.715552433,4.31806,31.07694,32.80223,31.85756,5.56,1.11,15,15,15
8,0,0,0.5972729,4.96914,29.09369,32.73853,32.29796,5.56,1.11,15,15,15
9,0,0,0.518420483,5.40319,31.80576,34.20316,33.72304,5.56,1.11,15,15,15
10,0,0,0.478995183,5.62021,30.72525,36.05915,34.74028,5.56,1.11,15,15,15
11,0,0,0.478995183,5.62021,30.86013,36.34222,36.17219,5.56,1.11,15,15,15
12,0,0,0.40014095,6.05427,32.67543,35.14275,37.91882,5.56,1.11,15,15,15
13,0,0,0.40014095,6.05427,34.49514,37.44801,37.7006,5.56,1.11,15,15,15
14,0,0,0.36071565,6.27129,34.48041,38.19607,38.27507,5.56,1.11,15,15,15
15,0,0,0.36071565,6.27129,33.87326,38.66779,39.23436,5.56,1.11,15,15,15
16,0,0,0.36071565,6.27129,33.66006,40.51328,39.77317,5.56,1.11,15,15,15
17,0,0,0.321288533,6.48832,34.87606,40.39173,40.16154,5.56,1.11,15,15,15
18,0,0,0.321288533,6.48832,34.50073,39.89354,40.18851,5.56,1.11,15,15,15
19,0,0,0.321288533,6.48832,35.24269,40.85261,41.42133,5.56,1.11,15,15,15
20,0,0,0.281863233,6.70534,35.3414,40.2564,41.01654,5.56,1.11,15,15,15
21,0,0,0.281863233,6.70534,35.67643,40.33851,40.61616,5.56,1.11,15,15,15
22,0,0,0.321288533,6.48832,34.77002,40.89629,41.09013,5.56,1.11,15,15,15
23,0,0,0.281863233,6.70534,33.22232,39.9414,40.34878,5.56,1.11,15,15,15
24,0,0,0.242436117,6.92237,34.28487,41.53679,40.74268,5.56,1.11,15,15,15
25,0,0,0.242436117,6.92237,35.55161,41.28031,40.18169,5.56,1.11,15,15,15
26,0,0,0.242436117,6.92237,35.50178,39.73452,40.13101,5.56,1.11,15,15,15
27,0,0,0.203009,7.1394,34.11084,39.66934,40.18773,5.56,1.11,15,15,15
28,0,0,0.242436117,6.92237,36.44854,39.40586,40.93895,5.56,1.11,15,15,15
29,0,0,0.242436117,6.92237,36.03952,41.15113,40.92907,5.56,1.11,15,15,15
30,0,0,0.242436117,6.92237,37.27696,40.45764,39.96691,5.56,1.11,15,15,15
31,0,0,0.242436117,6.92237,36.39002,41.3311,40.99611,5.56,1.11,15,15,15
32,0,0,0.242436117,6.92237,38.31791,42.00145,41.13161,5.56,1.11,15,15,15
33,0,0,0.242436117,6.92237,35.13322,40.39748,40.33394,5.56,1.11,15,15,15
34,0,0,0.242436117,6.92237,35.01719,40.2507,40.75295,5.56,1.11,15,15,15
35,0,0,0.242436117,6.92237,36.2245,39.81065,39.89891,5.56,1.11,15,15,15
36,0,0,0.242436117,6.92237,35.61436,38.32863,40.15787,5.56,1.11,15,15,15
37,0,0,0.203009,7.1394,34.98345,41.35903,40.62394,5.56,1.11,15,15,15
38,0,0,0.242436117,6.92237,36.75829,40.08175,40.50775,5.56,1.11,15,15,15
39,0,0,0.242436117,6.92237,36.81805,41.61173,41.16654,5.56,1.11,15,15,15
40,0,0,0.242436117,6.92237,34.54339,39.50518,39.17827,5.56,1.11,15,15,15
41,0,0,0.203009,7.1394,34.19238,39.02906,38.47868,5.56,1.11,15,15,15
42,0,0,0.203009,7.1394,33.72688,36.41186,38.04782,5.56,1.11,15,15,15
43,0,0,0.203009,7.1394,33.02068,36.34662,36.16858,5.56,1.11,15,15,15
44,0,0,0.203009,7.1394,31.49894,35.07425,36.11497,5.56,1.11,15,15,15
45,0,0,0.203009,7.1394,32.85314,36.37145,34.80151,5.56,1.11,15,15,15
46,0,0,0.203009,7.1394,32.63362,35.81007,36.48691,5.56,1.11,15,15,15
47,0,0,0.203009,7.1394,33.98624,38.73404,38.94989,5.56,1.11,15,15,15
48,0,0,0.242436117,6.92237,35.52728,39.50095,37.45269,5.56,1.11,15,15,15
49,0,0,0.242436117,6.92237,33.37378,38.34956,37.61262,5.56,1.11,15,15,15
50,0,0,0.242436117,6.92237,34.21309,38.99509,35.77654,5.56,1.11,15,15,15
