t,R_top,R_bot,c_bot_3,c_top_3,Qd_bot,Qd_top,Vd_1,Vd_2,Vd_3
0,1,1,0.92,0,8.34,1.67,15,15,15
2,1,1,0.82,0.51,8.34,1.67,15,15,15
5,1,1,0.63,2.36,8.34,1.67,15,15,15
10,1,1,0.31,3.38,8.34,1.67,15,15,15
15,1,1,0.26,4.21,8.34,1.67,15,15,15
20,1,1,0.17,4.10,8.34,1.67,15,15,15
30,1,1,0.10,4.21,8.34,1.67,15,15,15
32,0,0,0.11,4.10,8.34,1.67,15,15,15
35,0,0,0.10,4.31,8.34,1.67,15,15,15
40,0,0,0.12,4.51,8.34,1.67,15,15,15
45,0,0,0.11,4.21,8.34,1.67,15,15,15
50,0,0,0.09,4.41,8.34,1.67,15,15,15
60,0,0,0.07,4.51,8.34,1.67,15,15,15
70,0,0,0.09,4.51,8.34,1.67,15,15,15
80,0,0,0.04,4.51,8.34,1.67,15,15,15
90,0,0,0.03,4.51,8.34,1.67,15,15,15
