t,R_top,R_bot,c_bot_3,c_top_3,kappa_bot_1,kappa_bot_2,kappa_bot_3,Qd_bot,Qd_top,Vd_1,Vd_2,Vd_3
0,0,0,,0,46.23758,46.07206,46.24813,8.34,1.67,30,20,10
1,0,0,,0.266778,41.37161,45.27220,45.56017,8.34,1.67,30,20,10
2,0,0,,1.37789,33.43269,39.87046,43.27242,8.34,1.67,30,20,10
3,0,0,,1.93344,34.31332,38.25764,41.95427,8.34,1.67,30,20,10
4,0,0,,2.489,34.14346,39.45541,42.19862,8.34,1.67,30,20,10
5,0,0,,3.04456,35.13768,41.3583,42.3927,8.34,1.67,30,20,10
6,0,0,,3.32233,38.68404,42.08994,42.4094,8.34,1.67,30,20,10
7,0,0,,3.87789,36.52066,42.434,42.22125,8.34,1.67,30,20,10
8,0,0,,4.15567,37.72351,42.1866,42.77259,8.34,1.67,30,20,10
9,0,0,,4.43344,38.34522,42.36899,42.92773,8.34,1.67,30,20,10
10,0,0,,5.26678,38.00239,42.53835,43.19234,8.34,1.67,30,20,10
11,0,0,,5.82233,39.69931,42.38812,42.98664,8.34,1.67,30,20,10
12,0,0,,6.10011,37.65381,42.68908,43.09764,8.34,1.67,30,20,10
13,0,0,,6.37789,39.30665,42.68829,43.17078,8.34,1.67,30,20,10
14,0,0,,6.65567,39.53893,42.85809,43.05645,8.34,1.67,30,20,10
15,0,0,,6.93344,38.13456,42.3414,43.10769,8.34,1.67,30,20,10
16,0,0,,6.93344,38.95536,42.89985,43.09736,8.34,1.67,30,20,10
17,0,0,,6.93344,39.20253,42.78614,43.09206,8.34,1.67,30,20,10
18,0,0,,6.93344,39.97266,42.87931,43.1144,8.34,1.67,30,20,10
19,0,0,,6.65567,40.66999,42.78755,43.13895,8.34,1.67,30,20,10
20,0,0,,7.21122,44.04875,44.11359,44.13187,8.34,1.67,30,20,10
21,0,0,,7.489,39.78006,43.52907,43.34121,8.34,1.67,30,20,10
22,0,0,,7.76678,34.06575,41.00757,42.02679,8.34,1.67,30,20,10
23,0,0,,7.76678,36.03624,41.66782,42.13802,8.34,1.67,30,20,10
24,0,0,,8.04456,37.3278,42.18892,42.52147,8.34,1.67,30,20,10
25,0,0,,8.04456,39.14593,42.5055,43.02174,8.34,1.67,30,20,10
26,0,0,,8.60011,38.62693,42.7222,43.03139,8.34,1.67,30,20,10
27,0,0,,7.76678,35.83365,42.80933,42.90448,8.34,1.67,30,20,10
28,0,0,,8.32233,39.62769,42.74269,43.02282,8.34,1.67,30,20,10
29,0,0,,8.87789,39.3488,42.79178,42.87067,8.34,1.67,30,20,10
30,0,0,,9.15567,40.30798,42.68084,42.97931,8.34,1.67,30,20,10
31,0,0,,9.15567,39.69067,42.76249,43.07146,8.34,1.67,30,20,10
32,0,0,,9.43344,38.56993,42.71103,43.11491,8.34,1.67,30,20,10
33,0,0,,9.43344,38.87884,42.62294,43.21367,8.34,1.67,30,20,10
34,0,0,,9.71122,39.93993,42.49862,42.81774,8.34,1.67,30,20,10
35,0,0,,9.71122,40.21278,42.80894,42.77305,8.34,1.67,30,20,10
36,0,0,,9.71122,38.97991,42.66301,42.91537,8.34,1.67,30,20,10
37,0,0,,9.71122,36.96923,42.51228,42.83044,8.34,1.67,30,20,10
38,0,0,,9.989,38.78652,42.26583,42.83027,8.34,1.67,30,20,10
39,0,0,,9.989,40.95627,42.02126,42.53925,8.34,1.67,30,20,10
40,0,0,,10.2668,39.55873,42.15686,42.58654,8.34,1.67,30,20,10
41,0,0,,10.2668,34.61562,42.01528,42.52497,8.34,1.67,30,20,10
42,0,0,,10.2668,37.4177,41.53301,42.42238,8.34,1.67,30,20,10
43,0,0,,10.2668,36.35621,42.08554,42.22103,8.34,1.67,30,20,10
44,0,0,,10.2668,37.18469,41.69582,41.94733,8.34,1.67,30,20,10
45,0,0,,10.2668,39.13199,40.60464,42.12064,8.34,1.67,30,20,10
46,0,0,,9.989,37.1071,40.82569,42.04795,8.34,1.67,30,20,10
47,0,0,,10.2668,34.51659,41.07298,41.75705,8.34,1.67,30,20,10
48,0,0,,10.2668,34.59181,39.80269,41.35818,8.34,1.67,30,20,10
49,0,0,,10.2668,34.04041,40.35273,41.23719,8.34,1.67,30,20,10
50,0,0,,9.989,35.15991,39.29119,41.11694,8.34,1.67,30,20,10
51,0,0,,10.2668,35.49438,40.01962,40.68602,8.34,1.67,30,20,10
52,0,0,,9.989,34.73261,40.60386,40.94233,8.34,1.67,30,20,10
53,0,0,,9.989,33.1428,39.0557,40.68354,8.34,1.67,30,20,10
54,0,0,,9.989,35.13531,39.45541,40.49692,8.34,1.67,30,20,10
55,0,0,,9.989,34.75795,37.33142,40.66147,8.34,1.67,30,20,10
56,0,0,,9.989,34.14944,38.35397,40.38535,8.34,1.67,30,20,10
57,0,0,,9.71122,33.79871,39.54068,40.40753,8.34,1.67,30,20,10
58,0,0,,9.71122,33.77631,38.30769,40.35324,8.34,1.67,30,20,10
59,0,0,,9.71122,33.74098,38.82060,40.02842,8.34,1.67,30,20,10
60,0,0,,9.71122,31.54487,35.92874,39.58368,8.34,1.67,30,20,10
