t,R_top,R_bot,c_bot_3,c_top_3,kappa_bot_1,kappa_bot_2,kappa_bot_3,Qd_bot,Qd_top,Vd_1,Vd_2,Vd_3
0,1,1,1.50,0,49.17,50.73,52.44,8.34,1.67,15,15,15
2,1,1,1.10,1.44,36.02,43.59,49.05,8.34,1.67,15,15,15
5,1,1,0.73,6.05,31.56,39.69,37.7,8.34,1.67,15,15,15
10,1,1,0.42,7.39,30.81,37.75,40.83,8.34,1.67,15,15,15
15,1,1,0.31,7.18,30.15,33.86,41.78,8.34,1.67,15,15,15
20,1,1,0.24,6.98,32.03,34.81,43.35,8.34,1.67,15,15,15
30,1,1,0.18,6.98,36.06,38.43,47.41,8.34,1.67,15,15,15
32,0,0,0.18,7.08,35.27,42.23,46.34,8.34,1.67,15,15,15
35,0,0,0.18,7.08,36.65,40.42,45.62,8.34,1.67,15,15,15
40,0,0,0.18,7.39,35.37,38.16,45.72,8.34,1.67,15,15,15
45,0,0,0.22,7.80,35.94,43.52,45.97,8.34,1.67,15,15,15
50,0,0,0.21,8.00,36.20,47.18,45.78,8.34,1.67,15,15,15
60,0,0,0.20,7.80,37.61,42.95,43.60,8.34,1.67,15,15,15
70,0,0,0.19,8.21,35.09,42.06,45.69,8.34,1.67,15,15,15
80,0,0,0.17,6.87,37.49,47.72,46.20,8.34,1.67,15,15,15
90,0,0,0.17,6.98,38.25,46.23,45.63,8.34,1.67,15,15,15
