t,R_top,R_bot,c_bot_3,c_top_3,kappa_bot_1,kappa_bot_2,kappa_bot_3,Qd_bot,Qd_top,Vd_1,Vd_2,Vd_3
0,0,0,,0,50.9352,49.9242,51.7889,16.67,3.33,30,20,10
1,0,0,,0.1725,50.2833,46.7729,48.1204,16.67,3.33,30,20,10
2,0,0,,0.3425,48.7753,35.7829,40.6137,16.67,3.33,30,20,10
3,0,0,,0.6824,43.5757,37.3489,36.7221,16.67,3.33,30,20,10
4,0,0,,1.1924,39.6933,34.0322,34.5801,16.67,3.33,30,20,10
5,0,0,,1.7023,36.0663,33.2007,34.6569,16.67,3.33,30,20,10
6,0,0,,2.2123,36.2423,32.6012,35.1351,16.67,3.33,30,20,10
7,0,0,,2.5522,39.3214,34.6365,36.6553,16.67,3.33,30,20,10
8,0,0,,2.8922,39.8958,34.8051,36.2324,16.67,3.33,30,20,10
9,0,0,,3.0622,39.9938,32.9689,37.4157,16.67,3.33,30,20,10
10,0,0,,3.2321,36.9502,36.5839,39.1201,16.67,3.33,30,20,10
11,0,0,,3.2321,38.2737,36.0624,40.2582,16.67,3.33,30,20,10
12,0,0,,3.4021,41.7334,36.5589,40.4281,16.67,3.33,30,20,10
13,0,0,,3.5721,38.1462,38.6616,40.3972,16.67,3.33,30,20,10
14,0,0,,3.5721,39.8438,37.2105,39.3520,16.67,3.33,30,20,10
15,0,0,,3.7421,43.0147,37.3934,39.6042,16.67,3.33,30,20,10
16,0,0,,3.7421,38.0774,36.7764,39.9562,16.67,3.33,30,20,10
17,0,0,,3.9121,39.0042,38.4397,39.7743,16.67,3.33,30,20,10
18,0,0,,4.0821,37.2151,39.5962,40.0954,16.67,3.33,30,20,10
19,0,0,,4.0821,36.3888,36.6810,39.3639,16.67,3.33,30,20,10
20,0,0,,3.9121,36.8189,37.2688,40.2116,16.67,3.33,30,20,10
21,0,0,,4.0821,38.4497,36.4018,37.9705,16.67,3.33,30,20,10
22,0,0,,4.0821,35.6547,39.1631,37.1622,16.67,3.33,30,20,10
23,0,0,,3.9121,36.7699,36.3295,38.1952,16.67,3.33,30,20,10
24,0,0,,3.9121,37.5001,36.3949,38.9756,16.67,3.33,30,20,10
25,0,0,,3.9121,37.5761,38.3795,39.2322,16.67,3.33,30,20,10
26,0,0,,4.0821,39.3466,38.1509,40.2660,16.67,3.33,30,20,10
27,0,0,,3.9121,37.3420,36.1875,39.6686,16.67,3.33,30,20,10
28,0,0,,3.9121,36.6259,37.2170,38.6886,16.67,3.33,30,20,10
29,0,0,,3.7421,35.2053,35.6468,38.3873,16.67,3.33,30,20,10
30,0,0,,3.9121,41.2869,36.9605,39.4906,16.67,3.33,30,20,10
31,0,0,,3.9121,37.8836,36.3109,39.83728,16.67,3.33,30,20,10
32,0,0,,3.9121,39.77317,38.17542,41.19233,16.67,3.33,30,20,10
33,0,0,,4.0821,39.25761,37.8564,40.44759,16.67,3.33,30,20,10
34,0,0,,4.0821,38.61728,37.2229,40.62693,16.67,3.33,30,20,10
35,0,0,,4.0821,41.29583,36.44447,39.69682,16.67,3.33,30,20,10
36,0,0,,4.252,43.1683,39.04481,41.89214,16.67,3.33,30,20,10
37,0,0,,4.422,41.71506,37.13667,41.71337,16.67,3.33,30,20,10
38,0,0,,4.422,40.58416,40.40064,42.17701,16.67,3.33,30,20,10
39,0,0,,4.252,40.3011,39.23211,40.50515,16.67,3.33,30,20,10
40,0,0,,4.252,38.61632,39.71262,42.38192,16.67,3.33,30,20,10
