t,R_top,R_bot,c_bot_3,c_top_3,kappa_bot_1,kappa_bot_2,kappa_bot_3,Qd_bot,Qd_top,Vd_1,Vd_2,Vd_3
0,1,1,1.78,0,51.28,51.70,51.02,8.34,1.67,15,15,15
2,1,1,1.41,6.02,34.50,36.04,47.02,8.34,1.67,15,15,15
5,1,1,1.06,7.47,31.58,37.39,42.05,8.34,1.67,15,15,15
10,1,1,0.83,8.92,31.48,34.30,42.14,8.34,1.67,15,15,15
15,1,1,0.72,9.55,32.53,32.66,38.50,8.34,1.67,15,15,15
20,1,1,0.69,9.55,30.84,32.11,38.65,8.34,1.67,15,15,15
30,1,1,0.61,10.37,30.13,33.14,37.67,8.34,1.67,15,15,15
32,0,0,0.59,9.55,29.08,30.96,35.39,8.34,1.67,15,15,15
35,0,0,0.59,10.46,28.40,29.77,35.60,8.34,1.67,15,15,15
40,0,0,0.60,10.28,28.79,28.89,31.36,8.34,1.67,15,15,15
45,0,0,0.59,10.09,28.78,27.74,33.48,8.34,1.67,15,15,15
50,0,0,0.57,10.00,27.99,27.00,31.05,8.34,1.67,15,15,15
60,0,0,0.55,10.00,27.15,25.91,30.06,8.34,1.67,15,15,15
70,0,0,0.55,9.82,26.95,26.55,28.42,8.34,1.67,15,15,15
80,0,0,0.53,9.73,25.88,25.28,28.53,8.34,1.67,15,15,15
90,0,0,0.49,10.00,24.58,23.86,25.04,8.34,1.67,15,15,15
