t,R_top,R_bot,c_bot_3,c_top_3,kappa_bot_1,kappa_bot_2,kappa_bot_3,Qd_bot,Qd_top,Vd_1,Vd_2,Vd_3
0,0,0,1,0,47.76440,47.09704,48.12715,8.34,1.67,29.68,19.84,9.88
1,0,0,1,0,44.03662,44.36601,44.49784,8.34,1.67,29.96,19.96,9.96
2,0,0,1,0,36.18562,40.6622,42.25935,8.34,1.67,29.92,20,9.92
3,0,0,0.850609505,0.822333,34.45146,40.60668,41.20221,8.34,1.67,29.96,19.92,9.96
4,0,0,0.749683317,1.37789,33.8868,40.28975,42.29507,8.34,1.67,29.96,19.96,9.92
5,0,0,0.69921995,1.65567,36.31914,39.06642,42.54461,8.34,1.67,29.96,19.96,9.92
6,0,0,0.598295033,2.21122,37.35421,42.32148,42.98715,8.34,1.67,29.96,19.96,9.92
7,0,0,0.4973683,2.76678,36.08986,43.03088,43.59487,8.34,1.67,29.92,19.96,9.92
8,0,0,0.396443383,3.32233,39.03724,43.30548,44.09198,8.34,1.67,30,19.96,9.92
9,0,0,0.345980017,3.60011,40.26786,43.90987,44.29135,8.34,1.67,29.96,19.96,9.92
10,0,0,0.245053283,4.15567,38.53054,44.05022,44.4304,8.34,1.67,29.96,19.96,9.92
11,0,0,0.3207665,3.7389,39.8023,44.28108,44.58017,8.34,1.67,30,19.96,9.92
12,0,0,0.272143417,4.00655,41.39086,44.17392,44.67199,8.34,1.67,29.96,19.96,9.96
13,0,0,0.272143417,4.00655,41.03691,44.12228,44.57362,8.34,1.67,29.96,19.96,9.92
14,0,0,0.272143417,4.00655,39.7041,43.25255,44.47566,8.34,1.67,29.96,19.96,9.92
15,0,0,0.272143417,4.00655,41.88757,44.14068,44.52577,8.34,1.67,29.96,19.96,9.96
16,0,0,0.272143417,4.00655,40.98077,43.97279,44.34135,8.34,1.67,29.96,19.96,9.96
17,0,0,0.223520333,4.2742,40.43766,43.87392,44.10298,8.34,1.67,30,19.96,9.92
18,0,0,0.272143417,4.00655,37.97006,43.49747,43.84633,8.34,1.67,29.96,19.96,9.92
19,0,0,0.272143417,4.00655,37.34327,43.26942,43.61558,8.34,1.67,29.96,19.96,9.92
20,0,0,0.272143417,4.00655,36.65976,42.55381,43.22676,8.34,1.67,29.96,19.96,9.92
21,0,0,0.272143417,4.00655,34.76517,41.86629,42.28434,8.34,1.67,29.96,19.96,9.92
22,0,0,0.272143417,4.00655,33.81084,40.42982,40.84375,8.34,1.67,29.96,19.96,9.92
23,0,0,0.17489725,4.54185,34.73029,38.04489,39.37939,8.34,1.67,29.96,19.96,9.92
24,0,0,0.223520333,4.2742,31.82444,37.06568,38.95096,8.34,1.67,29.92,19.96,9.92
25,0,0,0.223520333,4.2742,32.48182,38.52563,39.50501,8.34,1.67,29.96,19.96,9.92
26,0,0,0.223520333,4.2742,36.19978,36.96596,39.13239,8.34,1.67,29.96,19.96,9.92
27,0,0,0.223520333,4.2742,32.09063,38.29911,39.14198,8.34,1.67,29.96,19.96,9.96
28,0,0,0.223520333,4.2742,32.73937,39.13594,40.04061,8.34,1.67,29.96,19.96,9.92
29,0,0,0.223520333,4.2742,33.37897,39.0834,40.20781,8.34,1.67,29.92,19.92,9.88
30,0,0,0.144128367,4.71122,34.78599,39.53424,40.11284,8.34,1.67,29.96,19.96,9.96
31,0,0,0.144128367,4.71122,32.59908,39.45478,40.35567,8.34,1.67,29.96,19.96,9.92
32,0,0,0.144128367,4.71122,34.14159,40.4147,41.19188,8.34,1.67,29.92,19.92,9.92
33,0,0,0.144128367,4.71122,35.23689,39.93412,41.24097,8.34,1.67,29.96,19.96,9.96
34,0,0,0.144128367,4.71122,38.19313,40.13124,41.76252,8.34,1.67,29.96,19.96,9.92
35,0,0,0.144128367,4.71122,36.0227,40.72022,41.8615,8.34,1.67,29.96,19.96,9.92
36,0,0,0.144128367,4.71122,37.49213,41.52985,42.31488,8.34,1.67,29.92,19.92,9.88
37,0,0,0.144128367,4.71122,37.63575,42.17809,42.45499,8.34,1.67,29.92,19.92,9.88
38,0,0,0.194591733,4.43344,39.11411,41.99869,42.58355,8.34,1.67,29.92,19.92,9.88
39,0,0,0.194591733,4.43344,38.30239,42.74997,42.79049,8.34,1.67,29.92,19.92,9.92
40,0,0,0.194591733,4.43344,37.70121,43.13026,42.82508,8.34,1.67,29.92,19.92,9.88
41,0,0,0.245053283,4.15567,38.65593,42.86808,43.07005,8.34,1.67,29.92,19.92,9.88
42,0,0,0.194591733,4.43344,39.95573,42.56842,43.13963,8.34,1.67,29.88,19.88,9.84
43,0,0,0.245053283,4.15567,40.84115,43.07219,43.24826,8.34,1.67,29.88,19.88,9.8
44,0,0,0.245053283,4.15567,41.09193,43.35582,43.30565,8.34,1.67,29.88,19.88,9.8
45,0,0,0.245053283,4.15567,39.62267,43.46586,43.13675,8.34,1.67,29.88,19.88,9.84
46,0,0,0.245053283,4.15567,38.16159,43.13794,43.2872,8.34,1.67,29.88,19.88,9.84
47,0,0,0.245053283,4.15567,39.48436,43.09747,43.38093,8.34,1.67,29.88,19.88,9.84
48,0,0,0.245053283,4.15567,41.90427,43.01773,43.19335,8.34,1.67,29.88,19.84,9.76
49,0,0,0.245053283,4.15567,40.65826,42.92547,43.16965,8.34,1.67,29.88,19.84,9.8
50,0,0,0.194591733,4.43344,40.47638,42.63908,43.22879,8.34,1.67,29.8,19.84,9.76
51,0,0,0.194591733,4.43344,41.97312,42.81492,43.2214,8.34,1.67,29.84,19.8,9.76
52,0,0,0.194591733,4.43344,38.45859,42.83004,42.96943,8.34,1.67,29.84,19.8,9.72
53,0,0,0.144128367,4.71122,41.25779,41.75829,43.01593,8.34,1.67,29.84,19.8,9.68
54,0,0,0.144128367,4.71122,37.7928,42.73761,42.90752,8.34,1.67,29.84,19.8,9.76
55,0,0,0.144128367,4.71122,40.48106,42.71972,42.91159,8.34,1.67,29.84,19.8,9.72
56,0,0,0.144128367,4.71122,37.25687,42.47272,42.66334,8.34,1.67,29.84,19.8,9.68
57,0,0,0.194591733,4.43344,36.44295,41.71145,42.54359,8.34,1.67,29.8,19.76,9.72
58,0,0,0.194591733,4.43344,35.1804,42.47689,42.33367,8.34,1.67,29.8,19.76,9.72
59,0,0,0.194591733,4.43344,36.83307,42.01183,42.22735,8.34,1.67,29.8,19.76,9.72
60,0,0,0.194591733,4.43344,35.83918,41.32088,42.32385,8.34,1.67,29.8,19.72,9.6
61,0,0,0.194591733,4.43344,34.60936,41.99197,42.1673,8.34,1.67,29.8,19.76,9.64
62,0,0,0.093665,4.989,37.42983,41.05091,42.34811,8.34,1.67,29.8,19.76,9.6
63,0,0,0.194591733,4.43344,38.30047,41.6378,42.17221,8.34,1.67,29.76,19.72,9.64
64,0,0,0.245053283,4.15567,34.62928,40.46086,41.81285,8.34,1.67,29.76,19.72,9.68
65,0,0,0.245053283,4.15567,36.49972,41.76743,42.13971,8.34,1.67,29.76,19.72,9.64
66,0,0,0.194591733,4.43344,36.42647,42.25765,42.22775,8.34,1.67,29.76,19.68,9.56
67,0,0,0.29551665,3.87789,38.90356,42.22153,42.53253,8.34,1.67,29.76,19.68,9.56
68,0,0,0.245053283,4.15567,38.00978,41.41868,42.53547,8.34,1.67,29.76,19.68,9.56
69,0,0,0.245053283,4.15567,36.48087,42.44478,42.58761,8.34,1.67,29.76,19.68,9.56
